date,sartoria,isPartial
2018-01-07,63,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,31,False
2018-02-04,31,False
2018-02-11,30,False
2018-02-18,29,False
2018-02-25,58,False
2018-03-04,30,False
2018-03-11,0,False
2018-03-18,63,False
2018-03-25,31,False
2018-04-01,34,False
2018-04-08,35,False
2018-04-15,36,False
2018-04-22,73,False
2018-04-29,34,False
2018-05-06,0,False
2018-05-13,66,False
2018-05-20,33,False
2018-05-27,32,False
2018-06-03,68,False
2018-06-10,33,False
2018-06-17,0,False
2018-06-24,33,False
2018-07-01,61,False
2018-07-08,0,False
2018-07-15,29,False
2018-07-22,29,False
2018-07-29,0,False
2018-08-05,40,False
2018-08-12,26,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,30,False
2018-09-09,32,False
2018-09-16,32,False
2018-09-23,65,False
2018-09-30,32,False
2018-10-07,67,False
2018-10-14,0,False
2018-10-21,67,False
2018-10-28,50,False
2018-11-04,0,False
2018-11-11,35,False
2018-11-18,69,False
2018-11-25,35,False
2018-12-02,34,False
2018-12-09,32,False
2018-12-16,0,False
2018-12-23,64,False
2018-12-30,52,False
2019-01-06,28,False
2019-01-13,29,False
2019-01-20,87,False
2019-01-27,28,False
2019-02-03,29,False
2019-02-10,29,False
2019-02-17,29,False
2019-02-24,0,False
2019-03-03,59,False
2019-03-10,45,False
2019-03-17,63,False
2019-03-24,33,False
2019-03-31,32,False
2019-04-07,33,False
2019-04-14,33,False
2019-04-21,67,False
2019-04-28,49,False
2019-05-05,0,False
2019-05-12,47,False
2019-05-19,31,False
2019-05-26,30,False
2019-06-02,95,False
2019-06-09,62,False
2019-06-16,30,False
2019-06-23,63,False
2019-06-30,29,False
2019-07-07,56,False
2019-07-14,27,False
2019-07-21,26,False
2019-07-28,25,False
2019-08-04,47,False
2019-08-11,33,False
2019-08-18,53,False
2019-08-25,46,False
2019-09-01,25,False
2019-09-08,28,False
2019-09-15,56,False
2019-09-22,28,False
2019-09-29,42,False
2019-10-06,0,False
2019-10-13,28,False
2019-10-20,30,False
2019-10-27,44,False
2019-11-03,29,False
2019-11-10,29,False
2019-11-17,29,False
2019-11-24,30,False
2019-12-01,45,False
2019-12-08,30,False
2019-12-15,28,False
2019-12-22,71,False
2019-12-29,0,False
2020-01-05,24,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,25,False
2020-02-02,25,False
2020-02-09,25,False
2020-02-16,100,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,26,False
2020-04-12,26,False
2020-04-19,0,False
2020-04-26,43,True
