date,Brunnen bohren,isPartial
2018-01-07,2,False
2018-01-14,2,False
2018-01-21,2,False
2018-01-28,3,False
2018-02-04,6,False
2018-02-11,4,False
2018-02-18,5,False
2018-02-25,6,False
2018-03-04,5,False
2018-03-11,6,False
2018-03-18,7,False
2018-03-25,6,False
2018-04-01,12,False
2018-04-08,12,False
2018-04-15,18,False
2018-04-22,16,False
2018-04-29,29,False
2018-05-06,39,False
2018-05-13,27,False
2018-05-20,35,False
2018-05-27,51,False
2018-06-03,41,False
2018-06-10,28,False
2018-06-17,29,False
2018-06-24,20,False
2018-07-01,58,False
2018-07-08,44,False
2018-07-15,58,False
2018-07-22,88,False
2018-07-29,100,False
2018-08-05,82,False
2018-08-12,53,False
2018-08-19,35,False
2018-08-26,22,False
2018-09-02,25,False
2018-09-09,21,False
2018-09-16,22,False
2018-09-23,14,False
2018-09-30,11,False
2018-10-07,15,False
2018-10-14,11,False
2018-10-21,7,False
2018-10-28,8,False
2018-11-04,10,False
2018-11-11,9,False
2018-11-18,7,False
2018-11-25,4,False
2018-12-02,3,False
2018-12-09,7,False
2018-12-16,4,False
2018-12-23,3,False
2018-12-30,10,False
2019-01-06,5,False
2019-01-13,6,False
2019-01-20,7,False
2019-01-27,6,False
2019-02-03,9,False
2019-02-10,8,False
2019-02-17,17,False
2019-02-24,17,False
2019-03-03,14,False
2019-03-10,11,False
2019-03-17,20,False
2019-03-24,18,False
2019-03-31,26,False
2019-04-07,31,False
2019-04-14,45,False
2019-04-21,83,False
2019-04-28,39,False
2019-05-05,25,False
2019-05-12,22,False
2019-05-19,20,False
2019-05-26,26,False
2019-06-02,43,False
2019-06-09,30,False
2019-06-16,34,False
2019-06-23,60,False
2019-06-30,75,False
2019-07-07,38,False
2019-07-14,27,False
2019-07-21,59,False
2019-07-28,53,False
2019-08-04,34,False
2019-08-11,25,False
2019-08-18,21,False
2019-08-25,29,False
2019-09-01,18,False
2019-09-08,22,False
2019-09-15,13,False
2019-09-22,14,False
2019-09-29,12,False
2019-10-06,7,False
2019-10-13,6,False
2019-10-20,9,False
2019-10-27,8,False
2019-11-03,5,False
2019-11-10,6,False
2019-11-17,6,False
2019-11-24,4,False
2019-12-01,6,False
2019-12-08,6,False
2019-12-15,4,False
2019-12-22,6,False
2019-12-29,7,False
2020-01-05,6,False
2020-01-12,7,False
2020-01-19,7,False
2020-01-26,7,False
2020-02-02,8,False
2020-02-09,7,False
2020-02-16,8,False
2020-02-23,7,False
2020-03-01,11,False
2020-03-08,9,False
2020-03-15,9,False
2020-03-22,12,False
2020-03-29,18,False
2020-04-05,47,False
2020-04-12,69,False
2020-04-19,88,False
2020-04-26,88,False
2020-05-03,50,False
2020-05-10,46,False
