date,Brunnen bohren,isPartial
2018-01-07,0,False
2018-01-14,20,False
2018-01-21,7,False
2018-01-28,0,False
2018-02-04,7,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,7,False
2018-03-11,0,False
2018-03-18,14,False
2018-03-25,7,False
2018-04-01,0,False
2018-04-08,14,False
2018-04-15,7,False
2018-04-22,17,False
2018-04-29,10,False
2018-05-06,43,False
2018-05-13,20,False
2018-05-20,32,False
2018-05-27,69,False
2018-06-03,51,False
2018-06-10,23,False
2018-06-17,23,False
2018-06-24,7,False
2018-07-01,42,False
2018-07-08,28,False
2018-07-15,53,False
2018-07-22,100,False
2018-07-29,79,False
2018-08-05,45,False
2018-08-12,35,False
2018-08-19,22,False
2018-08-26,16,False
2018-09-02,34,False
2018-09-09,7,False
2018-09-16,7,False
2018-09-23,14,False
2018-09-30,7,False
2018-10-07,7,False
2018-10-14,13,False
2018-10-21,20,False
2018-10-28,0,False
2018-11-04,10,False
2018-11-11,0,False
2018-11-18,6,False
2018-11-25,0,False
2018-12-02,7,False
2018-12-09,7,False
2018-12-16,0,False
2018-12-23,7,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,6,False
2019-01-20,16,False
2019-01-27,13,False
2019-02-03,6,False
2019-02-10,6,False
2019-02-17,19,False
2019-02-24,10,False
2019-03-03,12,False
2019-03-10,25,False
2019-03-17,23,False
2019-03-24,33,False
2019-03-31,10,False
2019-04-07,10,False
2019-04-14,29,False
2019-04-21,54,False
2019-04-28,10,False
2019-05-05,16,False
2019-05-12,26,False
2019-05-19,19,False
2019-05-26,16,False
2019-06-02,22,False
2019-06-09,28,False
2019-06-16,25,False
2019-06-23,32,False
2019-06-30,42,False
2019-07-07,29,False
2019-07-14,41,False
2019-07-21,46,False
2019-07-28,40,False
2019-08-04,46,False
2019-08-11,12,False
2019-08-18,13,False
2019-08-25,28,False
2019-09-01,12,False
2019-09-08,21,False
2019-09-15,15,False
2019-09-22,19,False
2019-09-29,12,False
2019-10-06,6,False
2019-10-13,6,False
2019-10-20,6,False
2019-10-27,12,False
2019-11-03,0,False
2019-11-10,12,False
2019-11-17,0,False
2019-11-24,6,False
2019-12-01,6,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,6,False
2019-12-29,15,False
2020-01-05,0,False
2020-01-12,8,False
2020-01-19,11,False
2020-01-26,11,False
2020-02-02,17,False
2020-02-09,5,False
2020-02-16,6,False
2020-02-23,0,False
2020-03-01,11,False
2020-03-08,10,False
2020-03-15,5,False
2020-03-22,10,False
2020-03-29,5,False
2020-04-05,45,False
2020-04-12,43,False
2020-04-19,57,False
2020-04-26,73,False
2020-05-03,31,False
2020-05-10,53,False
