date,Costume homme,isPartial
2018-01-07,33,False
2018-01-14,33,False
2018-01-21,66,False
2018-01-28,0,False
2018-02-04,95,False
2018-02-11,66,False
2018-02-18,35,False
2018-02-25,33,False
2018-03-04,48,False
2018-03-11,64,False
2018-03-18,65,False
2018-03-25,31,False
2018-04-01,64,False
2018-04-08,49,False
2018-04-15,35,False
2018-04-22,0,False
2018-04-29,62,False
2018-05-06,34,False
2018-05-13,32,False
2018-05-20,0,False
2018-05-27,100,False
2018-06-03,50,False
2018-06-10,32,False
2018-06-17,70,False
2018-06-24,34,False
2018-07-01,34,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,35,False
2018-07-29,35,False
2018-08-05,34,False
2018-08-12,35,False
2018-08-19,0,False
2018-08-26,66,False
2018-09-02,33,False
2018-09-09,0,False
2018-09-16,66,False
2018-09-23,0,False
2018-09-30,33,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,34,False
2018-10-28,79,False
2018-11-04,31,False
2018-11-11,0,False
2018-11-18,31,False
2018-11-25,77,False
2018-12-02,31,False
2018-12-09,0,False
2018-12-16,32,False
2018-12-23,0,False
2018-12-30,65,False
2019-01-06,46,False
2019-01-13,93,False
2019-01-20,0,False
2019-01-27,58,False
2019-02-03,45,False
2019-02-10,0,False
2019-02-17,33,False
2019-02-24,32,False
2019-03-03,60,False
2019-03-10,62,False
2019-03-17,97,False
2019-03-24,64,False
2019-03-31,78,False
2019-04-07,33,False
2019-04-14,33,False
2019-04-21,63,False
2019-04-28,45,False
2019-05-05,59,False
2019-05-12,30,False
2019-05-19,0,False
2019-05-26,63,False
2019-06-02,0,False
2019-06-09,30,False
2019-06-16,93,False
2019-06-23,32,False
2019-06-30,60,False
2019-07-07,46,False
2019-07-14,33,False
2019-07-21,32,False
2019-07-28,0,False
2019-08-04,32,False
2019-08-11,46,False
2019-08-18,31,False
2019-08-25,45,False
2019-09-01,30,False
2019-09-08,0,False
2019-09-15,44,False
2019-09-22,56,False
2019-09-29,28,False
2019-10-06,87,False
2019-10-13,59,False
2019-10-20,29,False
2019-10-27,27,False
2019-11-03,27,False
2019-11-10,0,False
2019-11-17,28,False
2019-11-24,0,False
2019-12-01,28,False
2019-12-08,82,False
2019-12-15,28,False
2019-12-22,43,False
2019-12-29,28,False
2020-01-05,27,False
2020-01-12,53,False
2020-01-19,27,False
2020-01-26,66,False
2020-02-02,54,False
2020-02-09,53,False
2020-02-16,54,False
2020-02-23,26,False
2020-03-01,52,False
2020-03-08,25,False
2020-03-15,35,False
2020-03-22,0,False
2020-03-29,23,False
2020-04-05,0,False
2020-04-12,55,True
