date,fotografi,isPartial
2018-01-07,20,False
2018-01-14,20,False
2018-01-21,39,False
2018-01-28,49,False
2018-02-04,19,False
2018-02-11,39,False
2018-02-18,56,False
2018-02-25,27,False
2018-03-04,48,False
2018-03-11,19,False
2018-03-18,19,False
2018-03-25,0,False
2018-04-01,31,False
2018-04-08,50,False
2018-04-15,50,False
2018-04-22,32,False
2018-04-29,61,False
2018-05-06,70,False
2018-05-13,30,False
2018-05-20,59,False
2018-05-27,41,False
2018-06-03,20,False
2018-06-10,19,False
2018-06-17,38,False
2018-06-24,19,False
2018-07-01,59,False
2018-07-08,29,False
2018-07-15,0,False
2018-07-22,28,False
2018-07-29,37,False
2018-08-05,18,False
2018-08-12,33,False
2018-08-19,67,False
2018-08-26,43,False
2018-09-02,64,False
2018-09-09,39,False
2018-09-16,58,False
2018-09-23,19,False
2018-09-30,96,False
2018-10-07,62,False
2018-10-14,20,False
2018-10-21,20,False
2018-10-28,80,False
2018-11-04,20,False
2018-11-11,20,False
2018-11-18,0,False
2018-11-25,39,False
2018-12-02,21,False
2018-12-09,51,False
2018-12-16,20,False
2018-12-23,32,False
2018-12-30,29,False
2019-01-06,29,False
2019-01-13,38,False
2019-01-20,62,False
2019-01-27,71,False
2019-02-03,17,False
2019-02-10,35,False
2019-02-17,74,False
2019-02-24,54,False
2019-03-03,38,False
2019-03-10,18,False
2019-03-17,28,False
2019-03-24,37,False
2019-03-31,27,False
2019-04-07,45,False
2019-04-14,38,False
2019-04-21,57,False
2019-04-28,71,False
2019-05-05,27,False
2019-05-12,18,False
2019-05-19,36,False
2019-05-26,59,False
2019-06-02,28,False
2019-06-09,28,False
2019-06-16,37,False
2019-06-23,65,False
2019-06-30,37,False
2019-07-07,34,False
2019-07-14,0,False
2019-07-21,27,False
2019-07-28,0,False
2019-08-04,26,False
2019-08-11,18,False
2019-08-18,17,False
2019-08-25,35,False
2019-09-01,42,False
2019-09-08,17,False
2019-09-15,42,False
2019-09-22,50,False
2019-09-29,51,False
2019-10-06,35,False
2019-10-13,35,False
2019-10-20,34,False
2019-10-27,34,False
2019-11-03,32,False
2019-11-10,25,False
2019-11-17,43,False
2019-11-24,25,False
2019-12-01,26,False
2019-12-08,35,False
2019-12-15,35,False
2019-12-22,100,False
2019-12-29,70,False
2020-01-05,17,False
2020-01-12,32,False
2020-01-19,49,False
2020-01-26,64,False
2020-02-02,31,False
2020-02-09,32,False
2020-02-16,32,False
2020-02-23,23,False
2020-03-01,60,False
2020-03-08,28,False
2020-03-15,27,False
2020-03-22,13,False
2020-03-29,26,False
2020-04-05,28,False
2020-04-12,35,False
2020-04-19,26,False
2020-04-26,0,True
