date,jardin en hauteur,isPartial
2018-01-07,18,False
2018-01-14,29,False
2018-01-21,12,False
2018-01-28,18,False
2018-02-04,18,False
2018-02-11,20,False
2018-02-18,13,False
2018-02-25,12,False
2018-03-04,28,False
2018-03-11,36,False
2018-03-18,36,False
2018-03-25,29,False
2018-04-01,25,False
2018-04-08,61,False
2018-04-15,35,False
2018-04-22,34,False
2018-04-29,50,False
2018-05-06,47,False
2018-05-13,32,False
2018-05-20,38,False
2018-05-27,28,False
2018-06-03,30,False
2018-06-10,16,False
2018-06-17,25,False
2018-06-24,12,False
2018-07-01,32,False
2018-07-08,25,False
2018-07-15,0,False
2018-07-22,46,False
2018-07-29,20,False
2018-08-05,13,False
2018-08-12,21,False
2018-08-19,31,False
2018-08-26,25,False
2018-09-02,12,False
2018-09-09,12,False
2018-09-16,16,False
2018-09-23,25,False
2018-09-30,29,False
2018-10-07,19,False
2018-10-14,12,False
2018-10-21,33,False
2018-10-28,25,False
2018-11-04,0,False
2018-11-11,16,False
2018-11-18,0,False
2018-11-25,12,False
2018-12-02,18,False
2018-12-09,12,False
2018-12-16,38,False
2018-12-23,14,False
2018-12-30,18,False
2019-01-06,12,False
2019-01-13,20,False
2019-01-20,12,False
2019-01-27,12,False
2019-02-03,29,False
2019-02-10,18,False
2019-02-17,31,False
2019-02-24,37,False
2019-03-03,59,False
2019-03-10,20,False
2019-03-17,100,False
2019-03-24,37,False
2019-03-31,36,False
2019-04-07,31,False
2019-04-14,50,False
2019-04-21,29,False
2019-04-28,40,False
2019-05-05,40,False
2019-05-12,20,False
2019-05-19,24,False
2019-05-26,12,False
2019-06-02,22,False
2019-06-09,19,False
2019-06-16,36,False
2019-06-23,36,False
2019-06-30,36,False
2019-07-07,12,False
2019-07-14,21,False
2019-07-21,19,False
2019-07-28,19,False
2019-08-04,19,False
2019-08-11,26,False
2019-08-18,19,False
2019-08-25,18,False
2019-09-01,12,False
2019-09-08,29,False
2019-09-15,23,False
2019-09-22,15,False
2019-09-29,19,False
2019-10-06,19,False
2019-10-13,26,False
2019-10-20,17,False
2019-10-27,11,False
2019-11-03,11,False
2019-11-10,33,False
2019-11-17,18,False
2019-11-24,21,False
2019-12-01,11,False
2019-12-08,22,False
2019-12-15,11,False
2019-12-22,12,False
2019-12-29,29,False
2020-01-05,18,False
2020-01-12,16,False
2020-01-19,18,False
2020-01-26,26,False
2020-02-02,21,False
2020-02-09,32,False
2020-02-16,32,False
2020-02-23,20,False
2020-03-01,30,False
2020-03-08,40,False
2020-03-15,19,False
2020-03-22,44,False
2020-03-29,37,False
2020-04-05,75,False
2020-04-12,74,False
2020-04-19,78,False
2020-04-26,62,False
2020-05-03,51,False
2020-05-10,44,False
2020-05-17,71,True
