date,Coach en développement personnel,isPartial
2018-01-07,0,False
2018-01-14,32,False
2018-01-21,65,False
2018-01-28,82,False
2018-02-04,65,False
2018-02-11,33,False
2018-02-18,50,False
2018-02-25,66,False
2018-03-04,66,False
2018-03-11,33,False
2018-03-18,33,False
2018-03-25,50,False
2018-04-01,34,False
2018-04-08,0,False
2018-04-15,70,False
2018-04-22,0,False
2018-04-29,34,False
2018-05-06,35,False
2018-05-13,33,False
2018-05-20,68,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,32,False
2018-06-17,0,False
2018-06-24,67,False
2018-07-01,98,False
2018-07-08,34,False
2018-07-15,0,False
2018-07-22,36,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,34,False
2018-09-09,51,False
2018-09-16,67,False
2018-09-23,0,False
2018-09-30,34,False
2018-10-07,34,False
2018-10-14,34,False
2018-10-21,68,False
2018-10-28,68,False
2018-11-04,0,False
2018-11-11,33,False
2018-11-18,33,False
2018-11-25,0,False
2018-12-02,66,False
2018-12-09,34,False
2018-12-16,35,False
2018-12-23,77,False
2018-12-30,0,False
2019-01-06,33,False
2019-01-13,49,False
2019-01-20,48,False
2019-01-27,32,False
2019-02-03,32,False
2019-02-10,0,False
2019-02-17,68,False
2019-02-24,34,False
2019-03-03,32,False
2019-03-10,65,False
2019-03-17,67,False
2019-03-24,34,False
2019-03-31,33,False
2019-04-07,33,False
2019-04-14,34,False
2019-04-21,34,False
2019-04-28,32,False
2019-05-05,49,False
2019-05-12,33,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,61,False
2019-06-09,32,False
2019-06-16,33,False
2019-06-23,49,False
2019-06-30,32,False
2019-07-07,49,False
2019-07-14,34,False
2019-07-21,34,False
2019-07-28,71,False
2019-08-04,0,False
2019-08-11,52,False
2019-08-18,52,False
2019-08-25,65,False
2019-09-01,47,False
2019-09-08,47,False
2019-09-15,31,False
2019-09-22,60,False
2019-09-29,45,False
2019-10-06,31,False
2019-10-13,46,False
2019-10-20,31,False
2019-10-27,30,False
2019-11-03,30,False
2019-11-10,60,False
2019-11-17,30,False
2019-11-24,29,False
2019-12-01,44,False
2019-12-08,29,False
2019-12-15,30,False
2019-12-22,33,False
2019-12-29,47,False
2020-01-05,29,False
2020-01-12,0,False
2020-01-19,29,False
2020-01-26,100,False
2020-02-02,29,False
2020-02-09,0,False
2020-02-16,29,False
2020-02-23,28,False
2020-03-01,82,False
2020-03-08,0,False
2020-03-15,26,False
2020-03-22,25,False
2020-03-29,26,False
2020-04-05,51,False
2020-04-12,0,False
2020-04-19,63,False
2020-04-26,36,False
2020-05-03,73,False
2020-05-10,38,False
2020-05-17,0,True
