date,Déchèterie,isPartial
2018-01-07,29,False
2018-01-14,58,False
2018-01-21,29,False
2018-01-28,0,False
2018-02-04,71,False
2018-02-11,29,False
2018-02-18,87,False
2018-02-25,0,False
2018-03-04,45,False
2018-03-11,49,False
2018-03-18,29,False
2018-03-25,29,False
2018-04-01,59,False
2018-04-08,29,False
2018-04-15,83,False
2018-04-22,39,False
2018-04-29,47,False
2018-05-06,65,False
2018-05-13,50,False
2018-05-20,45,False
2018-05-27,29,False
2018-06-03,29,False
2018-06-10,57,False
2018-06-17,92,False
2018-06-24,61,False
2018-07-01,74,False
2018-07-08,31,False
2018-07-15,90,False
2018-07-22,100,False
2018-07-29,33,False
2018-08-05,34,False
2018-08-12,86,False
2018-08-19,50,False
2018-08-26,73,False
2018-09-02,62,False
2018-09-09,46,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,45,False
2018-10-07,62,False
2018-10-14,31,False
2018-10-21,0,False
2018-10-28,61,False
2018-11-04,39,False
2018-11-11,0,False
2018-11-18,29,False
2018-11-25,29,False
2018-12-02,29,False
2018-12-09,0,False
2018-12-16,30,False
2018-12-23,65,False
2018-12-30,47,False
2019-01-06,44,False
2019-01-13,39,False
2019-01-20,0,False
2019-01-27,28,False
2019-02-03,39,False
2019-02-10,31,False
2019-02-17,62,False
2019-02-24,29,False
2019-03-03,28,False
2019-03-10,49,False
2019-03-17,45,False
2019-03-24,60,False
2019-03-31,30,False
2019-04-07,42,False
2019-04-14,48,False
2019-04-21,68,False
2019-04-28,42,False
2019-05-05,28,False
2019-05-12,73,False
2019-05-19,29,False
2019-05-26,39,False
2019-06-02,27,False
2019-06-09,28,False
2019-06-16,44,False
2019-06-23,49,False
2019-06-30,44,False
2019-07-07,91,False
2019-07-14,42,False
2019-07-21,32,False
2019-07-28,64,False
2019-08-04,81,False
2019-08-11,74,False
2019-08-18,33,False
2019-08-25,44,False
2019-09-01,28,False
2019-09-08,28,False
2019-09-15,28,False
2019-09-22,51,False
2019-09-29,26,False
2019-10-06,53,False
2019-10-13,81,False
2019-10-20,54,False
2019-10-27,53,False
2019-11-03,26,False
2019-11-10,42,False
2019-11-17,26,False
2019-11-24,25,False
2019-12-01,39,False
2019-12-08,38,False
2019-12-15,0,False
2019-12-22,56,False
2019-12-29,55,False
2020-01-05,0,False
2020-01-12,33,False
2020-01-19,25,False
2020-01-26,0,False
2020-02-02,50,False
2020-02-09,0,False
2020-02-16,38,False
2020-02-23,50,False
2020-03-01,60,False
2020-03-08,36,False
2020-03-15,42,False
2020-03-22,31,False
2020-03-29,0,False
2020-04-05,21,False
2020-04-12,54,False
2020-04-19,86,False
2020-04-26,59,False
2020-05-03,85,False
2020-05-10,78,False
2020-05-17,97,True
