date,Déchèterie,isPartial
2018-01-07,40,False
2018-01-14,54,False
2018-01-21,0,False
2018-01-28,28,False
2018-02-04,0,False
2018-02-11,41,False
2018-02-18,28,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,27,False
2018-03-18,27,False
2018-03-25,0,False
2018-04-01,28,False
2018-04-08,0,False
2018-04-15,29,False
2018-04-22,42,False
2018-04-29,52,False
2018-05-06,62,False
2018-05-13,0,False
2018-05-20,28,False
2018-05-27,35,False
2018-06-03,54,False
2018-06-10,26,False
2018-06-17,28,False
2018-06-24,27,False
2018-07-01,26,False
2018-07-08,0,False
2018-07-15,39,False
2018-07-22,0,False
2018-07-29,26,False
2018-08-05,24,False
2018-08-12,73,False
2018-08-19,51,False
2018-08-26,39,False
2018-09-02,27,False
2018-09-09,40,False
2018-09-16,27,False
2018-09-23,28,False
2018-09-30,28,False
2018-10-07,28,False
2018-10-14,28,False
2018-10-21,29,False
2018-10-28,55,False
2018-11-04,27,False
2018-11-11,28,False
2018-11-18,27,False
2018-11-25,42,False
2018-12-02,28,False
2018-12-09,29,False
2018-12-16,59,False
2018-12-23,33,False
2018-12-30,30,False
2019-01-06,28,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,26,False
2019-02-03,28,False
2019-02-10,28,False
2019-02-17,47,False
2019-02-24,39,False
2019-03-03,58,False
2019-03-10,28,False
2019-03-17,87,False
2019-03-24,29,False
2019-03-31,28,False
2019-04-07,27,False
2019-04-14,54,False
2019-04-21,27,False
2019-04-28,84,False
2019-05-05,27,False
2019-05-12,27,False
2019-05-19,0,False
2019-05-26,54,False
2019-06-02,39,False
2019-06-09,0,False
2019-06-16,53,False
2019-06-23,35,False
2019-06-30,35,False
2019-07-07,0,False
2019-07-14,24,False
2019-07-21,40,False
2019-07-28,46,False
2019-08-04,38,False
2019-08-11,80,False
2019-08-18,43,False
2019-08-25,35,False
2019-09-01,0,False
2019-09-08,49,False
2019-09-15,24,False
2019-09-22,25,False
2019-09-29,50,False
2019-10-06,25,False
2019-10-13,25,False
2019-10-20,24,False
2019-10-27,33,False
2019-11-03,24,False
2019-11-10,99,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,36,False
2019-12-08,25,False
2019-12-15,75,False
2019-12-22,55,False
2019-12-29,39,False
2020-01-05,48,False
2020-01-12,35,False
2020-01-19,23,False
2020-01-26,48,False
2020-02-02,36,False
2020-02-09,25,False
2020-02-16,24,False
2020-02-23,33,False
2020-03-01,22,False
2020-03-08,53,False
2020-03-15,40,False
2020-03-22,45,False
2020-03-29,19,False
2020-04-05,40,False
2020-04-12,20,False
2020-04-19,69,False
2020-04-26,56,False
2020-05-03,94,False
2020-05-10,83,False
2020-05-17,100,True
