date,Hochzeitsfotografen,isPartial
2018-01-07,29,False
2018-01-14,19,False
2018-01-21,29,False
2018-01-28,39,False
2018-02-04,59,False
2018-02-11,50,False
2018-02-18,30,False
2018-02-25,39,False
2018-03-04,40,False
2018-03-11,40,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,21,False
2018-04-08,20,False
2018-04-15,52,False
2018-04-22,30,False
2018-04-29,21,False
2018-05-06,21,False
2018-05-13,100,False
2018-05-20,0,False
2018-05-27,31,False
2018-06-03,40,False
2018-06-10,58,False
2018-06-17,20,False
2018-06-24,30,False
2018-07-01,40,False
2018-07-08,20,False
2018-07-15,0,False
2018-07-22,41,False
2018-07-29,52,False
2018-08-05,41,False
2018-08-12,21,False
2018-08-19,51,False
2018-08-26,81,False
2018-09-02,60,False
2018-09-09,30,False
2018-09-16,80,False
2018-09-23,20,False
2018-09-30,20,False
2018-10-07,60,False
2018-10-14,80,False
2018-10-21,69,False
2018-10-28,59,False
2018-11-04,29,False
2018-11-11,29,False
2018-11-18,19,False
2018-11-25,39,False
2018-12-02,29,False
2018-12-09,39,False
2018-12-16,50,False
2018-12-23,23,False
2018-12-30,21,False
2019-01-06,55,False
2019-01-13,18,False
2019-01-20,91,False
2019-01-27,18,False
2019-02-03,19,False
2019-02-10,28,False
2019-02-17,38,False
2019-02-24,39,False
2019-03-03,0,False
2019-03-10,37,False
2019-03-17,39,False
2019-03-24,19,False
2019-03-31,29,False
2019-04-07,19,False
2019-04-14,84,False
2019-04-21,30,False
2019-04-28,38,False
2019-05-05,28,False
2019-05-12,0,False
2019-05-19,28,False
2019-05-26,38,False
2019-06-02,19,False
2019-06-09,0,False
2019-06-16,19,False
2019-06-23,29,False
2019-06-30,38,False
2019-07-07,0,False
2019-07-14,58,False
2019-07-21,41,False
2019-07-28,20,False
2019-08-04,40,False
2019-08-11,29,False
2019-08-18,58,False
2019-08-25,76,False
2019-09-01,28,False
2019-09-08,28,False
2019-09-15,57,False
2019-09-22,18,False
2019-09-29,19,False
2019-10-06,37,False
2019-10-13,27,False
2019-10-20,36,False
2019-10-27,18,False
2019-11-03,26,False
2019-11-10,18,False
2019-11-17,35,False
2019-11-24,17,False
2019-12-01,26,False
2019-12-08,18,False
2019-12-15,18,False
2019-12-22,0,False
2019-12-29,19,False
2020-01-05,34,False
2020-01-12,0,False
2020-01-19,25,False
2020-01-26,25,False
2020-02-02,42,False
2020-02-09,32,False
2020-02-16,34,False
2020-02-23,33,False
2020-03-01,16,False
2020-03-08,15,False
2020-03-15,30,False
2020-03-22,45,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,True
