date,Schlüsselservice,isPartial
2018-01-07,51,False
2018-01-14,33,False
2018-01-21,51,False
2018-01-28,0,False
2018-02-04,51,False
2018-02-11,34,False
2018-02-18,34,False
2018-02-25,34,False
2018-03-04,42,False
2018-03-11,63,False
2018-03-18,51,False
2018-03-25,55,False
2018-04-01,36,False
2018-04-08,26,False
2018-04-15,27,False
2018-04-22,51,False
2018-04-29,40,False
2018-05-06,27,False
2018-05-13,51,False
2018-05-20,37,False
2018-05-27,35,False
2018-06-03,35,False
2018-06-10,25,False
2018-06-17,38,False
2018-06-24,52,False
2018-07-01,64,False
2018-07-08,26,False
2018-07-15,79,False
2018-07-22,26,False
2018-07-29,27,False
2018-08-05,44,False
2018-08-12,40,False
2018-08-19,40,False
2018-08-26,35,False
2018-09-02,52,False
2018-09-09,77,False
2018-09-16,77,False
2018-09-23,77,False
2018-09-30,78,False
2018-10-07,43,False
2018-10-14,43,False
2018-10-21,38,False
2018-10-28,25,False
2018-11-04,49,False
2018-11-11,38,False
2018-11-18,48,False
2018-11-25,42,False
2018-12-02,49,False
2018-12-09,100,False
2018-12-16,64,False
2018-12-23,0,False
2018-12-30,27,False
2019-01-06,56,False
2019-01-13,23,False
2019-01-20,47,False
2019-01-27,23,False
2019-02-03,0,False
2019-02-10,24,False
2019-02-17,32,False
2019-02-24,33,False
2019-03-03,32,False
2019-03-10,48,False
2019-03-17,62,False
2019-03-24,37,False
2019-03-31,50,False
2019-04-07,40,False
2019-04-14,80,False
2019-04-21,78,False
2019-04-28,24,False
2019-05-05,48,False
2019-05-12,74,False
2019-05-19,32,False
2019-05-26,25,False
2019-06-02,40,False
2019-06-09,41,False
2019-06-16,25,False
2019-06-23,58,False
2019-06-30,57,False
2019-07-07,48,False
2019-07-14,50,False
2019-07-21,0,False
2019-07-28,43,False
2019-08-04,43,False
2019-08-11,37,False
2019-08-18,25,False
2019-08-25,33,False
2019-09-01,36,False
2019-09-08,24,False
2019-09-15,0,False
2019-09-22,32,False
2019-09-29,71,False
2019-10-06,24,False
2019-10-13,55,False
2019-10-20,58,False
2019-10-27,39,False
2019-11-03,44,False
2019-11-10,56,False
2019-11-17,45,False
2019-11-24,22,False
2019-12-01,69,False
2019-12-08,34,False
2019-12-15,46,False
2019-12-22,40,False
2019-12-29,37,False
2020-01-05,44,False
2020-01-12,42,False
2020-01-19,51,False
2020-01-26,57,False
2020-02-02,32,False
2020-02-09,42,False
2020-02-16,44,False
2020-02-23,32,False
2020-03-01,56,False
2020-03-08,46,False
2020-03-15,19,False
2020-03-22,19,False
2020-03-29,19,False
2020-04-05,21,False
2020-04-12,20,False
2020-04-19,39,False
2020-04-26,29,False
2020-05-03,32,False
2020-05-10,39,False
