date,Hochzeit Scheune,isPartial
2018-01-07,51,False
2018-01-14,0,False
2018-01-21,38,False
2018-01-28,26,False
2018-02-04,26,False
2018-02-11,39,False
2018-02-18,52,False
2018-02-25,26,False
2018-03-04,0,False
2018-03-11,26,False
2018-03-18,27,False
2018-03-25,0,False
2018-04-01,28,False
2018-04-08,53,False
2018-04-15,27,False
2018-04-22,54,False
2018-04-29,28,False
2018-05-06,56,False
2018-05-13,53,False
2018-05-20,29,False
2018-05-27,0,False
2018-06-03,55,False
2018-06-10,77,False
2018-06-17,78,False
2018-06-24,67,False
2018-07-01,52,False
2018-07-08,26,False
2018-07-15,27,False
2018-07-22,27,False
2018-07-29,29,False
2018-08-05,43,False
2018-08-12,29,False
2018-08-19,44,False
2018-08-26,43,False
2018-09-02,0,False
2018-09-09,27,False
2018-09-16,26,False
2018-09-23,54,False
2018-09-30,27,False
2018-10-07,26,False
2018-10-14,52,False
2018-10-21,51,False
2018-10-28,0,False
2018-11-04,63,False
2018-11-11,0,False
2018-11-18,37,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,25,False
2018-12-16,0,False
2018-12-23,61,False
2018-12-30,41,False
2019-01-06,24,False
2019-01-13,36,False
2019-01-20,24,False
2019-01-27,24,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,100,False
2019-02-24,25,False
2019-03-03,63,False
2019-03-10,73,False
2019-03-17,51,False
2019-03-24,25,False
2019-03-31,50,False
2019-04-07,25,False
2019-04-14,27,False
2019-04-21,39,False
2019-04-28,37,False
2019-05-05,24,False
2019-05-12,25,False
2019-05-19,24,False
2019-05-26,25,False
2019-06-02,25,False
2019-06-09,39,False
2019-06-16,52,False
2019-06-23,0,False
2019-06-30,48,False
2019-07-07,24,False
2019-07-14,63,False
2019-07-21,91,False
2019-07-28,52,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,27,False
2019-08-25,28,False
2019-09-01,26,False
2019-09-08,38,False
2019-09-15,50,False
2019-09-22,24,False
2019-09-29,25,False
2019-10-06,48,False
2019-10-13,0,False
2019-10-20,59,False
2019-10-27,0,False
2019-11-03,46,False
2019-11-10,0,False
2019-11-17,34,False
2019-11-24,22,False
2019-12-01,23,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,27,False
2019-12-29,39,False
2020-01-05,23,False
2020-01-12,0,False
2020-01-19,22,False
2020-01-26,33,False
2020-02-02,33,False
2020-02-09,22,False
2020-02-16,23,False
2020-02-23,22,False
2020-03-01,85,False
2020-03-08,20,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,True
