date,Hochzeit Scheune,isPartial
2018-01-07,50,False
2018-01-14,39,False
2018-01-21,99,False
2018-01-28,39,False
2018-02-04,41,False
2018-02-11,41,False
2018-02-18,30,False
2018-02-25,20,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,21,False
2018-04-01,21,False
2018-04-08,20,False
2018-04-15,51,False
2018-04-22,39,False
2018-04-29,20,False
2018-05-06,21,False
2018-05-13,40,False
2018-05-20,21,False
2018-05-27,20,False
2018-06-03,50,False
2018-06-10,29,False
2018-06-17,39,False
2018-06-24,40,False
2018-07-01,40,False
2018-07-08,19,False
2018-07-15,20,False
2018-07-22,31,False
2018-07-29,63,False
2018-08-05,21,False
2018-08-12,64,False
2018-08-19,0,False
2018-08-26,40,False
2018-09-02,0,False
2018-09-09,41,False
2018-09-16,40,False
2018-09-23,41,False
2018-09-30,20,False
2018-10-07,20,False
2018-10-14,62,False
2018-10-21,100,False
2018-10-28,20,False
2018-11-04,29,False
2018-11-11,19,False
2018-11-18,38,False
2018-11-25,38,False
2018-12-02,0,False
2018-12-09,19,False
2018-12-16,39,False
2018-12-23,45,False
2018-12-30,31,False
2019-01-06,28,False
2019-01-13,37,False
2019-01-20,37,False
2019-01-27,18,False
2019-02-03,55,False
2019-02-10,19,False
2019-02-17,19,False
2019-02-24,19,False
2019-03-03,38,False
2019-03-10,55,False
2019-03-17,39,False
2019-03-24,19,False
2019-03-31,19,False
2019-04-07,19,False
2019-04-14,62,False
2019-04-21,0,False
2019-04-28,29,False
2019-05-05,74,False
2019-05-12,29,False
2019-05-19,19,False
2019-05-26,39,False
2019-06-02,19,False
2019-06-09,29,False
2019-06-16,39,False
2019-06-23,19,False
2019-06-30,19,False
2019-07-07,0,False
2019-07-14,30,False
2019-07-21,43,False
2019-07-28,21,False
2019-08-04,42,False
2019-08-11,30,False
2019-08-18,40,False
2019-08-25,0,False
2019-09-01,38,False
2019-09-08,29,False
2019-09-15,38,False
2019-09-22,74,False
2019-09-29,38,False
2019-10-06,37,False
2019-10-13,46,False
2019-10-20,19,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,18,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,18,False
2019-12-08,87,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,29,False
2020-01-05,43,False
2020-01-12,33,False
2020-01-19,34,False
2020-01-26,17,False
2020-02-02,41,False
2020-02-09,16,False
2020-02-16,17,False
2020-02-23,32,False
2020-03-01,32,False
2020-03-08,15,False
2020-03-15,15,False
2020-03-22,15,False
2020-03-29,15,False
2020-04-05,0,False
2020-04-12,60,True
