date,Bad renovieren,isPartial
2018-01-07,24,False
2018-01-14,24,False
2018-01-21,24,False
2018-01-28,24,False
2018-02-04,40,False
2018-02-11,0,False
2018-02-18,73,False
2018-02-25,25,False
2018-03-04,0,False
2018-03-11,24,False
2018-03-18,0,False
2018-03-25,26,False
2018-04-01,27,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,26,False
2018-05-06,0,False
2018-05-13,25,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,26,False
2018-06-10,26,False
2018-06-17,43,False
2018-06-24,54,False
2018-07-01,27,False
2018-07-08,80,False
2018-07-15,27,False
2018-07-22,27,False
2018-07-29,27,False
2018-08-05,26,False
2018-08-12,53,False
2018-08-19,38,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,25,False
2018-09-16,25,False
2018-09-23,26,False
2018-09-30,27,False
2018-10-07,51,False
2018-10-14,50,False
2018-10-21,49,False
2018-10-28,25,False
2018-11-04,0,False
2018-11-11,41,False
2018-11-18,37,False
2018-11-25,52,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,26,False
2018-12-23,46,False
2018-12-30,28,False
2019-01-06,25,False
2019-01-13,100,False
2019-01-20,24,False
2019-01-27,24,False
2019-02-03,24,False
2019-02-10,24,False
2019-02-17,37,False
2019-02-24,0,False
2019-03-03,24,False
2019-03-10,36,False
2019-03-17,33,False
2019-03-24,0,False
2019-03-31,33,False
2019-04-07,49,False
2019-04-14,27,False
2019-04-21,0,False
2019-04-28,25,False
2019-05-05,24,False
2019-05-12,37,False
2019-05-19,24,False
2019-05-26,25,False
2019-06-02,24,False
2019-06-09,25,False
2019-06-16,26,False
2019-06-23,34,False
2019-06-30,26,False
2019-07-07,25,False
2019-07-14,39,False
2019-07-21,0,False
2019-07-28,40,False
2019-08-04,25,False
2019-08-11,72,False
2019-08-18,0,False
2019-08-25,37,False
2019-09-01,40,False
2019-09-08,49,False
2019-09-15,0,False
2019-09-22,24,False
2019-09-29,26,False
2019-10-06,41,False
2019-10-13,46,False
2019-10-20,34,False
2019-10-27,57,False
2019-11-03,23,False
2019-11-10,22,False
2019-11-17,31,False
2019-11-24,0,False
2019-12-01,31,False
2019-12-08,23,False
2019-12-15,0,False
2019-12-22,55,False
2019-12-29,0,False
2020-01-05,23,False
2020-01-12,36,False
2020-01-19,44,False
2020-01-26,33,False
2020-02-02,32,False
2020-02-09,21,False
2020-02-16,0,False
2020-02-23,22,False
2020-03-01,32,False
2020-03-08,31,False
2020-03-15,20,False
2020-03-22,21,False
2020-03-29,20,False
2020-04-05,22,False
2020-04-12,21,False
2020-04-19,21,False
2020-04-26,20,False
2020-05-03,41,False
2020-05-10,42,False
