date,profesor primaria,isPartial
2018-01-07,0,False
2018-01-14,67,False
2018-01-21,0,False
2018-01-28,50,False
2018-02-04,51,False
2018-02-11,77,False
2018-02-18,52,False
2018-02-25,49,False
2018-03-04,98,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,48,False
2018-04-08,48,False
2018-04-15,50,False
2018-04-22,49,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,52,False
2018-05-20,49,False
2018-05-27,49,False
2018-06-03,71,False
2018-06-10,47,False
2018-06-17,78,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,49,False
2018-07-15,49,False
2018-07-22,51,False
2018-07-29,0,False
2018-08-05,47,False
2018-08-12,0,False
2018-08-19,49,False
2018-08-26,49,False
2018-09-02,49,False
2018-09-09,50,False
2018-09-16,65,False
2018-09-23,0,False
2018-09-30,49,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,100,False
2018-10-28,0,False
2018-11-04,47,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,76,False
2018-12-09,0,False
2018-12-16,48,False
2018-12-23,55,False
2018-12-30,55,False
2019-01-06,100,False
2019-01-13,48,False
2019-01-20,92,False
2019-01-27,0,False
2019-02-03,95,False
2019-02-10,49,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,50,False
2019-03-10,49,False
2019-03-17,51,False
2019-03-24,50,False
2019-03-31,47,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,47,False
2019-04-28,47,False
2019-05-05,93,False
2019-05-12,0,False
2019-05-19,71,False
2019-05-26,46,False
2019-06-02,44,False
2019-06-09,46,False
2019-06-16,91,False
2019-06-23,47,False
2019-06-30,47,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,48,False
2019-07-28,48,False
2019-08-04,44,False
2019-08-11,44,False
2019-08-18,45,False
2019-08-25,44,False
2019-09-01,45,False
2019-09-08,46,False
2019-09-15,59,False
2019-09-22,0,False
2019-09-29,43,False
2019-10-06,44,False
2019-10-13,0,False
2019-10-20,66,False
2019-10-27,0,False
2019-11-03,43,False
2019-11-10,42,False
2019-11-17,0,False
2019-11-24,41,False
2019-12-01,45,False
2019-12-08,0,False
2019-12-15,42,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,44,False
2020-01-12,79,False
2020-01-19,42,False
2020-01-26,40,False
2020-02-02,83,False
2020-02-09,40,False
2020-02-16,42,False
2020-02-23,42,False
2020-03-01,39,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,36,False
2020-03-29,52,False
2020-04-05,55,False
2020-04-12,35,False
2020-04-19,53,False
2020-04-26,34,False
2020-05-03,0,False
2020-05-10,0,False
2020-05-17,57,True
