date,profesor primaria,isPartial
2018-01-07,95,False
2018-01-14,33,False
2018-01-21,67,False
2018-01-28,95,False
2018-02-04,33,False
2018-02-11,84,False
2018-02-18,33,False
2018-02-25,0,False
2018-03-04,61,False
2018-03-11,61,False
2018-03-18,65,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,62,False
2018-04-15,45,False
2018-04-22,43,False
2018-04-29,0,False
2018-05-06,32,False
2018-05-13,44,False
2018-05-20,33,False
2018-05-27,0,False
2018-06-03,86,False
2018-06-10,52,False
2018-06-17,68,False
2018-06-24,33,False
2018-07-01,34,False
2018-07-08,0,False
2018-07-15,34,False
2018-07-22,0,False
2018-07-29,49,False
2018-08-05,53,False
2018-08-12,32,False
2018-08-19,66,False
2018-08-26,49,False
2018-09-02,48,False
2018-09-09,47,False
2018-09-16,49,False
2018-09-23,63,False
2018-09-30,32,False
2018-10-07,75,False
2018-10-14,31,False
2018-10-21,32,False
2018-10-28,44,False
2018-11-04,62,False
2018-11-11,32,False
2018-11-18,60,False
2018-11-25,32,False
2018-12-02,35,False
2018-12-09,34,False
2018-12-16,34,False
2018-12-23,38,False
2018-12-30,37,False
2019-01-06,50,False
2019-01-13,63,False
2019-01-20,30,False
2019-01-27,30,False
2019-02-03,65,False
2019-02-10,48,False
2019-02-17,32,False
2019-02-24,34,False
2019-03-03,33,False
2019-03-10,34,False
2019-03-17,0,False
2019-03-24,81,False
2019-03-31,30,False
2019-04-07,32,False
2019-04-14,0,False
2019-04-21,31,False
2019-04-28,32,False
2019-05-05,44,False
2019-05-12,49,False
2019-05-19,32,False
2019-05-26,62,False
2019-06-02,79,False
2019-06-09,63,False
2019-06-16,33,False
2019-06-23,75,False
2019-06-30,76,False
2019-07-07,48,False
2019-07-14,49,False
2019-07-21,33,False
2019-07-28,33,False
2019-08-04,32,False
2019-08-11,31,False
2019-08-18,46,False
2019-08-25,0,False
2019-09-01,60,False
2019-09-08,59,False
2019-09-15,100,False
2019-09-22,90,False
2019-09-29,40,False
2019-10-06,75,False
2019-10-13,29,False
2019-10-20,69,False
2019-10-27,43,False
2019-11-03,48,False
2019-11-10,72,False
2019-11-17,28,False
2019-11-24,42,False
2019-12-01,30,False
2019-12-08,30,False
2019-12-15,47,False
2019-12-22,95,False
2019-12-29,31,False
2020-01-05,89,False
2020-01-12,54,False
2020-01-19,34,False
2020-01-26,0,False
2020-02-02,56,False
2020-02-09,42,False
2020-02-16,27,False
2020-02-23,28,False
2020-03-01,54,False
2020-03-08,26,False
2020-03-15,25,False
2020-03-22,58,False
2020-03-29,46,False
2020-04-05,25,False
2020-04-12,46,False
2020-04-19,34,False
2020-04-26,40,False
2020-05-03,23,False
2020-05-10,38,False
2020-05-17,57,True
