date,Coach vie,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,53,False
2018-01-28,26,False
2018-02-04,0,False
2018-02-11,27,False
2018-02-18,27,False
2018-02-25,27,False
2018-03-04,26,False
2018-03-11,0,False
2018-03-18,26,False
2018-03-25,26,False
2018-04-01,0,False
2018-04-08,26,False
2018-04-15,56,False
2018-04-22,27,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,26,False
2018-05-20,27,False
2018-05-27,26,False
2018-06-03,26,False
2018-06-10,25,False
2018-06-17,0,False
2018-06-24,53,False
2018-07-01,0,False
2018-07-08,27,False
2018-07-15,29,False
2018-07-22,30,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,31,False
2018-08-19,30,False
2018-08-26,0,False
2018-09-02,27,False
2018-09-09,27,False
2018-09-16,27,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,25,False
2018-11-25,0,False
2018-12-02,25,False
2018-12-09,26,False
2018-12-16,0,False
2018-12-23,30,False
2018-12-30,28,False
2019-01-06,26,False
2019-01-13,0,False
2019-01-20,24,False
2019-01-27,24,False
2019-02-03,50,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,26,False
2019-03-03,25,False
2019-03-10,25,False
2019-03-17,0,False
2019-03-24,26,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,100,False
2019-04-28,0,False
2019-05-05,22,False
2019-05-12,0,False
2019-05-19,23,False
2019-05-26,23,False
2019-06-02,0,False
2019-06-09,23,False
2019-06-16,36,False
2019-06-23,24,False
2019-06-30,23,False
2019-07-07,24,False
2019-07-14,49,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,27,False
2019-08-11,28,False
2019-08-18,29,False
2019-08-25,26,False
2019-09-01,49,False
2019-09-08,26,False
2019-09-15,0,False
2019-09-22,22,False
2019-09-29,21,False
2019-10-06,21,False
2019-10-13,21,False
2019-10-20,21,False
2019-10-27,21,False
2019-11-03,21,False
2019-11-10,20,False
2019-11-17,21,False
2019-11-24,0,False
2019-12-01,22,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,51,False
2019-12-29,24,False
2020-01-05,31,False
2020-01-12,39,False
2020-01-19,20,False
2020-01-26,20,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,31,False
2020-02-23,31,False
2020-03-01,20,False
2020-03-08,39,False
2020-03-15,18,False
2020-03-22,18,False
2020-03-29,0,False
2020-04-05,18,False
2020-04-12,18,False
2020-04-19,18,False
2020-04-26,17,False
2020-05-03,17,False
2020-05-10,18,False
2020-05-17,44,True
