date,Rollladen,isPartial
2018-01-07,22,False
2018-01-14,5,False
2018-01-21,32,False
2018-01-28,22,False
2018-02-04,0,False
2018-02-11,16,False
2018-02-18,16,False
2018-02-25,5,False
2018-03-04,5,False
2018-03-11,11,False
2018-03-18,11,False
2018-03-25,17,False
2018-04-01,12,False
2018-04-08,23,False
2018-04-15,12,False
2018-04-22,29,False
2018-04-29,6,False
2018-05-06,12,False
2018-05-13,6,False
2018-05-20,18,False
2018-05-27,6,False
2018-06-03,6,False
2018-06-10,16,False
2018-06-17,0,False
2018-06-24,11,False
2018-07-01,6,False
2018-07-08,40,False
2018-07-15,6,False
2018-07-22,30,False
2018-07-29,18,False
2018-08-05,12,False
2018-08-12,12,False
2018-08-19,6,False
2018-08-26,6,False
2018-09-02,6,False
2018-09-09,17,False
2018-09-16,12,False
2018-09-23,6,False
2018-09-30,6,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,12,False
2018-10-28,23,False
2018-11-04,11,False
2018-11-11,6,False
2018-11-18,0,False
2018-11-25,22,False
2018-12-02,11,False
2018-12-09,11,False
2018-12-16,6,False
2018-12-23,13,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,15,False
2019-01-27,10,False
2019-02-03,21,False
2019-02-10,5,False
2019-02-17,21,False
2019-02-24,0,False
2019-03-03,16,False
2019-03-10,15,False
2019-03-17,11,False
2019-03-24,5,False
2019-03-31,5,False
2019-04-07,5,False
2019-04-14,6,False
2019-04-21,11,False
2019-04-28,22,False
2019-05-05,26,False
2019-05-12,21,False
2019-05-19,10,False
2019-05-26,10,False
2019-06-02,5,False
2019-06-09,22,False
2019-06-16,38,False
2019-06-23,11,False
2019-06-30,11,False
2019-07-07,16,False
2019-07-14,6,False
2019-07-21,35,False
2019-07-28,22,False
2019-08-04,6,False
2019-08-11,17,False
2019-08-18,22,False
2019-08-25,21,False
2019-09-01,0,False
2019-09-08,32,False
2019-09-15,5,False
2019-09-22,5,False
2019-09-29,15,False
2019-10-06,5,False
2019-10-13,0,False
2019-10-20,10,False
2019-10-27,15,False
2019-11-03,10,False
2019-11-10,15,False
2019-11-17,5,False
2019-11-24,10,False
2019-12-01,10,False
2019-12-08,0,False
2019-12-15,20,False
2019-12-22,11,False
2019-12-29,16,False
2020-01-05,14,False
2020-01-12,13,False
2020-01-19,23,False
2020-01-26,5,False
2020-02-02,5,False
2020-02-09,5,False
2020-02-16,14,False
2020-02-23,9,False
2020-03-01,9,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,25,False
2020-03-29,4,False
2020-04-05,14,False
2020-04-12,14,False
2020-04-19,22,False
2020-04-26,18,False
2020-05-03,18,False
2020-05-10,18,False
2020-05-17,15,False
2020-05-24,4,False
2020-05-31,100,False
2020-06-07,23,False
2020-06-14,9,False
2020-06-21,14,False
2020-06-28,32,False
2020-07-05,14,False
