date,corso cinema,isPartial
2018-01-07,47,False
2018-01-14,51,False
2018-01-21,46,False
2018-01-28,23,False
2018-02-04,37,False
2018-02-11,55,False
2018-02-18,53,False
2018-02-25,26,False
2018-03-04,51,False
2018-03-11,30,False
2018-03-18,22,False
2018-03-25,32,False
2018-04-01,34,False
2018-04-08,35,False
2018-04-15,23,False
2018-04-22,33,False
2018-04-29,27,False
2018-05-06,18,False
2018-05-13,22,False
2018-05-20,9,False
2018-05-27,27,False
2018-06-03,27,False
2018-06-10,66,False
2018-06-17,59,False
2018-06-24,23,False
2018-07-01,23,False
2018-07-08,28,False
2018-07-15,14,False
2018-07-22,28,False
2018-07-29,30,False
2018-08-05,11,False
2018-08-12,18,False
2018-08-19,0,False
2018-08-26,43,False
2018-09-02,26,False
2018-09-09,21,False
2018-09-16,25,False
2018-09-23,48,False
2018-09-30,26,False
2018-10-07,48,False
2018-10-14,61,False
2018-10-21,13,False
2018-10-28,73,False
2018-11-04,29,False
2018-11-11,34,False
2018-11-18,37,False
2018-11-25,38,False
2018-12-02,30,False
2018-12-09,38,False
2018-12-16,26,False
2018-12-23,57,False
2018-12-30,90,False
2019-01-06,52,False
2019-01-13,37,False
2019-01-20,29,False
2019-01-27,49,False
2019-02-03,58,False
2019-02-10,46,False
2019-02-17,34,False
2019-02-24,39,False
2019-03-03,22,False
2019-03-10,30,False
2019-03-17,26,False
2019-03-24,53,False
2019-03-31,53,False
2019-04-07,39,False
2019-04-14,27,False
2019-04-21,39,False
2019-04-28,36,False
2019-05-05,35,False
2019-05-12,21,False
2019-05-19,59,False
2019-05-26,25,False
2019-06-02,18,False
2019-06-09,17,False
2019-06-16,9,False
2019-06-23,23,False
2019-06-30,9,False
2019-07-07,26,False
2019-07-14,9,False
2019-07-21,38,False
2019-07-28,10,False
2019-08-04,11,False
2019-08-11,12,False
2019-08-18,11,False
2019-08-25,24,False
2019-09-01,50,False
2019-09-08,25,False
2019-09-15,33,False
2019-09-22,36,False
2019-09-29,28,False
2019-10-06,75,False
2019-10-13,37,False
2019-10-20,47,False
2019-10-27,24,False
2019-11-03,69,False
2019-11-10,35,False
2019-11-17,74,False
2019-11-24,42,False
2019-12-01,52,False
2019-12-08,37,False
2019-12-15,41,False
2019-12-22,74,False
2019-12-29,76,False
2020-01-05,32,False
2020-01-12,100,False
2020-01-19,42,False
2020-01-26,37,False
2020-02-02,34,False
2020-02-09,34,False
2020-02-16,26,False
2020-02-23,11,False
2020-03-01,14,False
2020-03-08,11,False
2020-03-15,0,False
2020-03-22,7,False
2020-03-29,7,False
2020-04-05,0,False
2020-04-12,7,False
2020-04-19,7,False
2020-04-26,0,True
