date,corso cinema,isPartial
2018-01-07,41,False
2018-01-14,35,False
2018-01-21,44,False
2018-01-28,34,False
2018-02-04,48,False
2018-02-11,43,False
2018-02-18,41,False
2018-02-25,27,False
2018-03-04,33,False
2018-03-11,38,False
2018-03-18,29,False
2018-03-25,31,False
2018-04-01,26,False
2018-04-08,18,False
2018-04-15,29,False
2018-04-22,20,False
2018-04-29,22,False
2018-05-06,20,False
2018-05-13,21,False
2018-05-20,14,False
2018-05-27,11,False
2018-06-03,13,False
2018-06-10,33,False
2018-06-17,39,False
2018-06-24,28,False
2018-07-01,17,False
2018-07-08,13,False
2018-07-15,10,False
2018-07-22,12,False
2018-07-29,6,False
2018-08-05,9,False
2018-08-12,14,False
2018-08-19,17,False
2018-08-26,27,False
2018-09-02,26,False
2018-09-09,21,False
2018-09-16,29,False
2018-09-23,26,False
2018-09-30,29,False
2018-10-07,31,False
2018-10-14,35,False
2018-10-21,29,False
2018-10-28,56,False
2018-11-04,31,False
2018-11-11,33,False
2018-11-18,28,False
2018-11-25,27,False
2018-12-02,30,False
2018-12-09,29,False
2018-12-16,33,False
2018-12-23,67,False
2018-12-30,56,False
2019-01-06,39,False
2019-01-13,34,False
2019-01-20,33,False
2019-01-27,37,False
2019-02-03,34,False
2019-02-10,36,False
2019-02-17,27,False
2019-02-24,27,False
2019-03-03,32,False
2019-03-10,19,False
2019-03-17,21,False
2019-03-24,24,False
2019-03-31,34,False
2019-04-07,28,False
2019-04-14,30,False
2019-04-21,37,False
2019-04-28,20,False
2019-05-05,27,False
2019-05-12,19,False
2019-05-19,28,False
2019-05-26,34,False
2019-06-02,11,False
2019-06-09,15,False
2019-06-16,12,False
2019-06-23,10,False
2019-06-30,13,False
2019-07-07,12,False
2019-07-14,15,False
2019-07-21,11,False
2019-07-28,4,False
2019-08-04,11,False
2019-08-11,14,False
2019-08-18,26,False
2019-08-25,27,False
2019-09-01,29,False
2019-09-08,28,False
2019-09-15,28,False
2019-09-22,27,False
2019-09-29,31,False
2019-10-06,28,False
2019-10-13,27,False
2019-10-20,35,False
2019-10-27,31,False
2019-11-03,38,False
2019-11-10,30,False
2019-11-17,28,False
2019-11-24,41,False
2019-12-01,34,False
2019-12-08,28,False
2019-12-15,32,False
2019-12-22,73,False
2019-12-29,100,False
2020-01-05,53,False
2020-01-12,55,False
2020-01-19,54,False
2020-01-26,48,False
2020-02-02,33,False
2020-02-09,43,False
2020-02-16,30,False
2020-02-23,11,False
2020-03-01,11,False
2020-03-08,3,False
2020-03-15,2,False
2020-03-22,3,False
2020-03-29,3,False
2020-04-05,3,False
2020-04-12,2,False
2020-04-19,1,False
2020-04-26,2,True
