date,apprendre anglais,isPartial
2018-01-07,0,False
2018-01-14,35,False
2018-01-21,0,False
2018-01-28,32,False
2018-02-04,22,False
2018-02-11,0,False
2018-02-18,33,False
2018-02-25,44,False
2018-03-04,22,False
2018-03-11,29,False
2018-03-18,65,False
2018-03-25,22,False
2018-04-01,22,False
2018-04-08,22,False
2018-04-15,23,False
2018-04-22,23,False
2018-04-29,23,False
2018-05-06,23,False
2018-05-13,43,False
2018-05-20,22,False
2018-05-27,32,False
2018-06-03,33,False
2018-06-10,53,False
2018-06-17,22,False
2018-06-24,22,False
2018-07-01,0,False
2018-07-08,35,False
2018-07-15,24,False
2018-07-22,36,False
2018-07-29,49,False
2018-08-05,0,False
2018-08-12,100,False
2018-08-19,47,False
2018-08-26,23,False
2018-09-02,57,False
2018-09-09,23,False
2018-09-16,30,False
2018-09-23,22,False
2018-09-30,22,False
2018-10-07,23,False
2018-10-14,23,False
2018-10-21,23,False
2018-10-28,23,False
2018-11-04,21,False
2018-11-11,43,False
2018-11-18,77,False
2018-11-25,39,False
2018-12-02,19,False
2018-12-09,0,False
2018-12-16,19,False
2018-12-23,20,False
2018-12-30,19,False
2019-01-06,19,False
2019-01-13,38,False
2019-01-20,18,False
2019-01-27,37,False
2019-02-03,18,False
2019-02-10,19,False
2019-02-17,0,False
2019-02-24,20,False
2019-03-03,18,False
2019-03-10,56,False
2019-03-17,29,False
2019-03-24,19,False
2019-03-31,19,False
2019-04-07,19,False
2019-04-14,0,False
2019-04-21,29,False
2019-04-28,19,False
2019-05-05,37,False
2019-05-12,38,False
2019-05-19,19,False
2019-05-26,20,False
2019-06-02,41,False
2019-06-09,19,False
2019-06-16,38,False
2019-06-23,19,False
2019-06-30,38,False
2019-07-07,37,False
2019-07-14,0,False
2019-07-21,22,False
2019-07-28,0,False
2019-08-04,19,False
2019-08-11,33,False
2019-08-18,16,False
2019-08-25,16,False
2019-09-01,36,False
2019-09-08,18,False
2019-09-15,18,False
2019-09-22,27,False
2019-09-29,28,False
2019-10-06,17,False
2019-10-13,53,False
2019-10-20,18,False
2019-10-27,26,False
2019-11-03,34,False
2019-11-10,18,False
2019-11-17,17,False
2019-11-24,16,False
2019-12-01,0,False
2019-12-08,34,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,24,False
2020-01-05,16,False
2020-01-12,57,False
2020-01-19,17,False
2020-01-26,22,False
2020-02-02,33,False
2020-02-09,33,False
2020-02-16,17,False
2020-02-23,16,False
2020-03-01,21,False
2020-03-08,33,False
2020-03-15,21,False
2020-03-22,36,False
2020-03-29,16,False
2020-04-05,26,False
2020-04-12,64,False
2020-04-19,0,False
2020-04-26,20,False
2020-05-03,31,False
2020-05-10,31,False
2020-05-17,22,False
2020-05-24,24,False
2020-05-31,15,False
2020-06-07,47,False
2020-06-14,16,False
2020-06-21,0,True
