date,pettinature capelli,isPartial
2018-01-07,0,False
2018-01-14,23,False
2018-01-21,46,False
2018-01-28,22,False
2018-02-04,0,False
2018-02-11,35,False
2018-02-18,23,False
2018-02-25,0,False
2018-03-04,24,False
2018-03-11,24,False
2018-03-18,24,False
2018-03-25,75,False
2018-04-01,52,False
2018-04-08,49,False
2018-04-15,52,False
2018-04-22,26,False
2018-04-29,25,False
2018-05-06,49,False
2018-05-13,24,False
2018-05-20,25,False
2018-05-27,25,False
2018-06-03,50,False
2018-06-10,48,False
2018-06-17,49,False
2018-06-24,25,False
2018-07-01,36,False
2018-07-08,24,False
2018-07-15,74,False
2018-07-22,25,False
2018-07-29,25,False
2018-08-05,38,False
2018-08-12,41,False
2018-08-19,38,False
2018-08-26,58,False
2018-09-02,24,False
2018-09-09,49,False
2018-09-16,24,False
2018-09-23,0,False
2018-09-30,24,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,24,False
2018-11-11,25,False
2018-11-18,37,False
2018-11-25,24,False
2018-12-02,0,False
2018-12-09,52,False
2018-12-16,27,False
2018-12-23,59,False
2018-12-30,79,False
2019-01-06,24,False
2019-01-13,0,False
2019-01-20,23,False
2019-01-27,33,False
2019-02-03,34,False
2019-02-10,34,False
2019-02-17,0,False
2019-02-24,46,False
2019-03-03,0,False
2019-03-10,23,False
2019-03-17,0,False
2019-03-24,36,False
2019-03-31,46,False
2019-04-07,46,False
2019-04-14,24,False
2019-04-21,48,False
2019-04-28,45,False
2019-05-05,66,False
2019-05-12,66,False
2019-05-19,66,False
2019-05-26,0,False
2019-06-02,23,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,48,False
2019-06-30,0,False
2019-07-07,24,False
2019-07-14,0,False
2019-07-21,25,False
2019-07-28,24,False
2019-08-04,0,False
2019-08-11,28,False
2019-08-18,100,False
2019-08-25,0,False
2019-09-01,33,False
2019-09-08,46,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,22,False
2019-10-13,22,False
2019-10-20,22,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,21,False
2019-11-17,32,False
2019-11-24,21,False
2019-12-01,0,False
2019-12-08,45,False
2019-12-15,22,False
2019-12-22,25,False
2019-12-29,24,False
2020-01-05,0,False
2020-01-12,20,False
2020-01-19,31,False
2020-01-26,0,False
2020-02-02,20,False
2020-02-09,21,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,19,False
2020-03-15,19,False
2020-03-22,0,False
2020-03-29,36,False
2020-04-05,28,False
2020-04-12,19,False
2020-04-19,18,False
2020-04-26,0,True
