date,Schlosserei,isPartial
2018-01-07,55,False
2018-01-14,32,False
2018-01-21,33,False
2018-01-28,33,False
2018-02-04,52,False
2018-02-11,44,False
2018-02-18,33,False
2018-02-25,33,False
2018-03-04,33,False
2018-03-11,33,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,36,False
2018-04-08,54,False
2018-04-15,37,False
2018-04-22,69,False
2018-04-29,37,False
2018-05-06,49,False
2018-05-13,35,False
2018-05-20,36,False
2018-05-27,51,False
2018-06-03,80,False
2018-06-10,33,False
2018-06-17,33,False
2018-06-24,67,False
2018-07-01,33,False
2018-07-08,66,False
2018-07-15,36,False
2018-07-22,81,False
2018-07-29,0,False
2018-08-05,35,False
2018-08-12,34,False
2018-08-19,45,False
2018-08-26,34,False
2018-09-02,0,False
2018-09-09,52,False
2018-09-16,68,False
2018-09-23,34,False
2018-09-30,0,False
2018-10-07,34,False
2018-10-14,45,False
2018-10-21,53,False
2018-10-28,34,False
2018-11-04,33,False
2018-11-11,100,False
2018-11-18,47,False
2018-11-25,33,False
2018-12-02,54,False
2018-12-09,48,False
2018-12-16,66,False
2018-12-23,0,False
2018-12-30,32,False
2019-01-06,30,False
2019-01-13,76,False
2019-01-20,61,False
2019-01-27,31,False
2019-02-03,0,False
2019-02-10,31,False
2019-02-17,63,False
2019-02-24,47,False
2019-03-03,30,False
2019-03-10,30,False
2019-03-17,31,False
2019-03-24,47,False
2019-03-31,33,False
2019-04-07,32,False
2019-04-14,35,False
2019-04-21,34,False
2019-04-28,41,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,62,False
2019-05-26,31,False
2019-06-02,42,False
2019-06-09,31,False
2019-06-16,47,False
2019-06-23,32,False
2019-06-30,32,False
2019-07-07,32,False
2019-07-14,54,False
2019-07-21,34,False
2019-07-28,30,False
2019-08-04,0,False
2019-08-11,60,False
2019-08-18,30,False
2019-08-25,30,False
2019-09-01,29,False
2019-09-08,61,False
2019-09-15,61,False
2019-09-22,30,False
2019-09-29,29,False
2019-10-06,31,False
2019-10-13,30,False
2019-10-20,0,False
2019-10-27,28,False
2019-11-03,28,False
2019-11-10,28,False
2019-11-17,28,False
2019-11-24,27,False
2019-12-01,0,False
2019-12-08,28,False
2019-12-15,29,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,27,False
2020-01-12,0,False
2020-01-19,53,False
2020-01-26,40,False
2020-02-02,42,False
2020-02-09,26,False
2020-02-16,26,False
2020-02-23,25,False
2020-03-01,0,False
2020-03-08,25,False
2020-03-15,23,False
2020-03-22,0,False
2020-03-29,29,False
2020-04-05,25,False
2020-04-12,0,False
2020-04-19,23,False
2020-04-26,38,False
2020-05-03,23,False
2020-05-10,35,False
