date,drone video,isPartial
2018-01-07,26,False
2018-01-14,64,False
2018-01-21,63,False
2018-01-28,25,False
2018-02-04,25,False
2018-02-11,25,False
2018-02-18,24,False
2018-02-25,0,False
2018-03-04,24,False
2018-03-11,0,False
2018-03-18,24,False
2018-03-25,77,False
2018-04-01,27,False
2018-04-08,24,False
2018-04-15,25,False
2018-04-22,0,False
2018-04-29,38,False
2018-05-06,24,False
2018-05-13,48,False
2018-05-20,48,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,25,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,76,False
2018-07-22,39,False
2018-07-29,27,False
2018-08-05,74,False
2018-08-12,67,False
2018-08-19,0,False
2018-08-26,66,False
2018-09-02,72,False
2018-09-09,24,False
2018-09-16,23,False
2018-09-23,24,False
2018-09-30,0,False
2018-10-07,24,False
2018-10-14,24,False
2018-10-21,23,False
2018-10-28,24,False
2018-11-04,56,False
2018-11-11,35,False
2018-11-18,0,False
2018-11-25,24,False
2018-12-02,36,False
2018-12-09,23,False
2018-12-16,24,False
2018-12-23,85,False
2018-12-30,27,False
2019-01-06,24,False
2019-01-13,57,False
2019-01-20,23,False
2019-01-27,23,False
2019-02-03,23,False
2019-02-10,23,False
2019-02-17,23,False
2019-02-24,95,False
2019-03-03,24,False
2019-03-10,24,False
2019-03-17,48,False
2019-03-24,0,False
2019-03-31,24,False
2019-04-07,24,False
2019-04-14,49,False
2019-04-21,0,False
2019-04-28,25,False
2019-05-05,47,False
2019-05-12,23,False
2019-05-19,23,False
2019-05-26,0,False
2019-06-02,36,False
2019-06-09,24,False
2019-06-16,24,False
2019-06-23,25,False
2019-06-30,25,False
2019-07-07,24,False
2019-07-14,100,False
2019-07-21,26,False
2019-07-28,0,False
2019-08-04,29,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,23,False
2019-09-08,0,False
2019-09-15,22,False
2019-09-22,0,False
2019-09-29,22,False
2019-10-06,23,False
2019-10-13,45,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,63,False
2019-11-10,32,False
2019-11-17,0,False
2019-11-24,21,False
2019-12-01,22,False
2019-12-08,22,False
2019-12-15,45,False
2019-12-22,27,False
2019-12-29,0,False
2020-01-05,77,False
2020-01-12,41,False
2020-01-19,21,False
2020-01-26,31,False
2020-02-02,41,False
2020-02-09,21,False
2020-02-16,41,False
2020-02-23,0,False
2020-03-01,20,False
2020-03-08,39,False
2020-03-15,0,False
2020-03-22,56,False
2020-03-29,57,False
2020-04-05,20,False
2020-04-12,40,False
2020-04-19,57,False
2020-04-26,66,True
