date,agencias de eventos,isPartial
2018-01-07,0,False
2018-01-14,52,False
2018-01-21,35,False
2018-01-28,17,False
2018-02-04,35,False
2018-02-11,0,False
2018-02-18,17,False
2018-02-25,17,False
2018-03-04,17,False
2018-03-11,0,False
2018-03-18,18,False
2018-03-25,0,False
2018-04-01,18,False
2018-04-08,17,False
2018-04-15,0,False
2018-04-22,17,False
2018-04-29,0,False
2018-05-06,17,False
2018-05-13,0,False
2018-05-20,17,False
2018-05-27,0,False
2018-06-03,50,False
2018-06-10,0,False
2018-06-17,54,False
2018-06-24,18,False
2018-07-01,0,False
2018-07-08,17,False
2018-07-15,36,False
2018-07-22,18,False
2018-07-29,0,False
2018-08-05,36,False
2018-08-12,38,False
2018-08-19,19,False
2018-08-26,18,False
2018-09-02,17,False
2018-09-09,0,False
2018-09-16,34,False
2018-09-23,34,False
2018-09-30,17,False
2018-10-07,0,False
2018-10-14,100,False
2018-10-21,34,False
2018-10-28,53,False
2018-11-04,81,False
2018-11-11,34,False
2018-11-18,0,False
2018-11-25,34,False
2018-12-02,0,False
2018-12-09,53,False
2018-12-16,35,False
2018-12-23,0,False
2018-12-30,39,False
2019-01-06,52,False
2019-01-13,17,False
2019-01-20,47,False
2019-01-27,16,False
2019-02-03,33,False
2019-02-10,34,False
2019-02-17,17,False
2019-02-24,17,False
2019-03-03,17,False
2019-03-10,0,False
2019-03-17,52,False
2019-03-24,0,False
2019-03-31,33,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,33,False
2019-04-28,0,False
2019-05-05,33,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,32,False
2019-06-02,32,False
2019-06-09,16,False
2019-06-16,34,False
2019-06-23,0,False
2019-06-30,17,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,17,False
2019-07-28,0,False
2019-08-04,18,False
2019-08-11,18,False
2019-08-18,0,False
2019-08-25,33,False
2019-09-01,0,False
2019-09-08,32,False
2019-09-15,47,False
2019-09-22,47,False
2019-09-29,0,False
2019-10-06,16,False
2019-10-13,0,False
2019-10-20,30,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,15,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,15,False
2019-12-08,16,False
2019-12-15,0,False
2019-12-22,51,False
2019-12-29,17,False
2020-01-05,0,False
2020-01-12,28,False
2020-01-19,0,False
2020-01-26,29,False
2020-02-02,14,False
2020-02-09,29,False
2020-02-16,29,False
2020-02-23,71,False
2020-03-01,14,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,13,False
2020-03-29,0,False
2020-04-05,14,False
2020-04-12,0,True
