date,Dachdeckerei,isPartial
2018-01-07,29,False
2018-01-14,15,False
2018-01-21,15,False
2018-01-28,44,False
2018-02-04,15,False
2018-02-11,22,False
2018-02-18,43,False
2018-02-25,15,False
2018-03-04,15,False
2018-03-11,43,False
2018-03-18,37,False
2018-03-25,55,False
2018-04-01,24,False
2018-04-08,63,False
2018-04-15,32,False
2018-04-22,31,False
2018-04-29,16,False
2018-05-06,0,False
2018-05-13,23,False
2018-05-20,47,False
2018-05-27,48,False
2018-06-03,31,False
2018-06-10,44,False
2018-06-17,45,False
2018-06-24,30,False
2018-07-01,53,False
2018-07-08,23,False
2018-07-15,32,False
2018-07-22,48,False
2018-07-29,32,False
2018-08-05,63,False
2018-08-12,16,False
2018-08-19,39,False
2018-08-26,45,False
2018-09-02,38,False
2018-09-09,31,False
2018-09-16,31,False
2018-09-23,31,False
2018-09-30,15,False
2018-10-07,46,False
2018-10-14,31,False
2018-10-21,31,False
2018-10-28,62,False
2018-11-04,74,False
2018-11-11,23,False
2018-11-18,15,False
2018-11-25,22,False
2018-12-02,37,False
2018-12-09,15,False
2018-12-16,15,False
2018-12-23,35,False
2018-12-30,15,False
2019-01-06,21,False
2019-01-13,35,False
2019-01-20,56,False
2019-01-27,14,False
2019-02-03,14,False
2019-02-10,14,False
2019-02-17,70,False
2019-02-24,35,False
2019-03-03,63,False
2019-03-10,41,False
2019-03-17,51,False
2019-03-24,29,False
2019-03-31,59,False
2019-04-07,36,False
2019-04-14,47,False
2019-04-21,54,False
2019-04-28,36,False
2019-05-05,49,False
2019-05-12,21,False
2019-05-19,14,False
2019-05-26,28,False
2019-06-02,15,False
2019-06-09,30,False
2019-06-16,22,False
2019-06-23,15,False
2019-06-30,59,False
2019-07-07,36,False
2019-07-14,46,False
2019-07-21,16,False
2019-07-28,30,False
2019-08-04,23,False
2019-08-11,38,False
2019-08-18,36,False
2019-08-25,14,False
2019-09-01,42,False
2019-09-08,36,False
2019-09-15,100,False
2019-09-22,42,False
2019-09-29,13,False
2019-10-06,21,False
2019-10-13,28,False
2019-10-20,82,False
2019-10-27,48,False
2019-11-03,20,False
2019-11-10,26,False
2019-11-17,34,False
2019-11-24,53,False
2019-12-01,27,False
2019-12-08,13,False
2019-12-15,34,False
2019-12-22,31,False
2019-12-29,14,False
2020-01-05,13,False
2020-01-12,42,False
2020-01-19,37,False
2020-01-26,25,False
2020-02-02,43,False
2020-02-09,50,False
2020-02-16,25,False
2020-02-23,23,False
2020-03-01,30,False
2020-03-08,23,False
2020-03-15,35,False
2020-03-22,40,False
2020-03-29,23,False
2020-04-05,45,False
2020-04-12,25,False
2020-04-19,24,False
2020-04-26,30,False
2020-05-03,12,False
2020-05-10,42,False
2020-05-17,33,False
2020-05-24,30,False
2020-05-31,37,False
2020-06-07,37,False
2020-06-14,47,False
2020-06-21,62,False
2020-06-28,18,False
2020-07-05,39,False
