date,capelli scalati,isPartial
2018-01-07,40,False
2018-01-14,80,False
2018-01-21,49,False
2018-01-28,79,False
2018-02-04,24,False
2018-02-11,57,False
2018-02-18,25,False
2018-02-25,32,False
2018-03-04,33,False
2018-03-11,74,False
2018-03-18,51,False
2018-03-25,70,False
2018-04-01,73,False
2018-04-08,70,False
2018-04-15,27,False
2018-04-22,37,False
2018-04-29,27,False
2018-05-06,17,False
2018-05-13,34,False
2018-05-20,51,False
2018-05-27,0,False
2018-06-03,60,False
2018-06-10,42,False
2018-06-17,86,False
2018-06-24,26,False
2018-07-01,42,False
2018-07-08,17,False
2018-07-15,34,False
2018-07-22,26,False
2018-07-29,34,False
2018-08-05,62,False
2018-08-12,39,False
2018-08-19,70,False
2018-08-26,25,False
2018-09-02,33,False
2018-09-09,59,False
2018-09-16,67,False
2018-09-23,34,False
2018-09-30,60,False
2018-10-07,53,False
2018-10-14,72,False
2018-10-21,52,False
2018-10-28,41,False
2018-11-04,42,False
2018-11-11,70,False
2018-11-18,25,False
2018-11-25,34,False
2018-12-02,27,False
2018-12-09,54,False
2018-12-16,47,False
2018-12-23,41,False
2018-12-30,28,False
2019-01-06,42,False
2019-01-13,25,False
2019-01-20,32,False
2019-01-27,47,False
2019-02-03,40,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,65,False
2019-03-03,33,False
2019-03-10,57,False
2019-03-17,25,False
2019-03-24,59,False
2019-03-31,32,False
2019-04-07,24,False
2019-04-14,25,False
2019-04-21,34,False
2019-04-28,32,False
2019-05-05,46,False
2019-05-12,47,False
2019-05-19,54,False
2019-05-26,30,False
2019-06-02,33,False
2019-06-09,49,False
2019-06-16,57,False
2019-06-23,25,False
2019-06-30,50,False
2019-07-07,50,False
2019-07-14,17,False
2019-07-21,69,False
2019-07-28,42,False
2019-08-04,27,False
2019-08-11,19,False
2019-08-18,52,False
2019-08-25,0,False
2019-09-01,38,False
2019-09-08,81,False
2019-09-15,16,False
2019-09-22,64,False
2019-09-29,47,False
2019-10-06,62,False
2019-10-13,47,False
2019-10-20,100,False
2019-10-27,31,False
2019-11-03,52,False
2019-11-10,52,False
2019-11-17,37,False
2019-11-24,75,False
2019-12-01,47,False
2019-12-08,31,False
2019-12-15,47,False
2019-12-22,45,False
2019-12-29,42,False
2020-01-05,38,False
2020-01-12,14,False
2020-01-19,66,False
2020-01-26,43,False
2020-02-02,14,False
2020-02-09,29,False
2020-02-16,22,False
2020-02-23,28,False
2020-03-01,27,False
2020-03-08,0,False
2020-03-15,13,False
2020-03-22,49,False
2020-03-29,19,False
2020-04-05,13,False
2020-04-12,13,False
2020-04-19,38,False
2020-04-26,22,True
