date,bigliettini bomboniere,isPartial
2018-01-07,32,False
2018-01-14,31,False
2018-01-21,67,False
2018-01-28,62,False
2018-02-04,77,False
2018-02-11,31,False
2018-02-18,61,False
2018-02-25,35,False
2018-03-04,35,False
2018-03-11,81,False
2018-03-18,51,False
2018-03-25,33,False
2018-04-01,67,False
2018-04-08,98,False
2018-04-15,100,False
2018-04-22,99,False
2018-04-29,63,False
2018-05-06,73,False
2018-05-13,31,False
2018-05-20,47,False
2018-05-27,31,False
2018-06-03,26,False
2018-06-10,45,False
2018-06-17,31,False
2018-06-24,16,False
2018-07-01,31,False
2018-07-08,36,False
2018-07-15,37,False
2018-07-22,21,False
2018-07-29,48,False
2018-08-05,50,False
2018-08-12,17,False
2018-08-19,23,False
2018-08-26,48,False
2018-09-02,46,False
2018-09-09,20,False
2018-09-16,30,False
2018-09-23,31,False
2018-09-30,46,False
2018-10-07,52,False
2018-10-14,26,False
2018-10-21,31,False
2018-10-28,10,False
2018-11-04,25,False
2018-11-11,26,False
2018-11-18,15,False
2018-11-25,15,False
2018-12-02,26,False
2018-12-09,21,False
2018-12-16,16,False
2018-12-23,0,False
2018-12-30,28,False
2019-01-06,36,False
2019-01-13,25,False
2019-01-20,24,False
2019-01-27,53,False
2019-02-03,24,False
2019-02-10,59,False
2019-02-17,41,False
2019-02-24,0,False
2019-03-03,58,False
2019-03-10,46,False
2019-03-17,36,False
2019-03-24,68,False
2019-03-31,52,False
2019-04-07,66,False
2019-04-14,47,False
2019-04-21,83,False
2019-04-28,62,False
2019-05-05,69,False
2019-05-12,35,False
2019-05-19,44,False
2019-05-26,38,False
2019-06-02,36,False
2019-06-09,25,False
2019-06-16,31,False
2019-06-23,73,False
2019-06-30,26,False
2019-07-07,35,False
2019-07-14,21,False
2019-07-21,63,False
2019-07-28,21,False
2019-08-04,38,False
2019-08-11,12,False
2019-08-18,60,False
2019-08-25,35,False
2019-09-01,42,False
2019-09-08,34,False
2019-09-15,38,False
2019-09-22,38,False
2019-09-29,48,False
2019-10-06,34,False
2019-10-13,63,False
2019-10-20,14,False
2019-10-27,19,False
2019-11-03,23,False
2019-11-10,28,False
2019-11-17,18,False
2019-11-24,14,False
2019-12-01,10,False
2019-12-08,19,False
2019-12-15,15,False
2019-12-22,22,False
2019-12-29,11,False
2020-01-05,24,False
2020-01-12,35,False
2020-01-19,23,False
2020-01-26,35,False
2020-02-02,35,False
2020-02-09,18,False
2020-02-16,54,False
2020-02-23,50,False
2020-03-01,25,False
2020-03-08,20,False
2020-03-15,0,False
2020-03-22,11,False
2020-03-29,31,False
2020-04-05,8,False
2020-04-12,16,False
2020-04-19,20,False
2020-04-26,27,True
