date,capodanno,isPartial
2018-01-07,2,False
2018-01-14,1,False
2018-01-21,1,False
2018-01-28,1,False
2018-02-04,2,False
2018-02-11,4,False
2018-02-18,2,False
2018-02-25,1,False
2018-03-04,0,False
2018-03-11,1,False
2018-03-18,1,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,1,False
2018-05-13,1,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,1,False
2018-07-08,1,False
2018-07-15,1,False
2018-07-22,1,False
2018-07-29,1,False
2018-08-05,1,False
2018-08-12,2,False
2018-08-19,2,False
2018-08-26,2,False
2018-09-02,3,False
2018-09-09,3,False
2018-09-16,3,False
2018-09-23,3,False
2018-09-30,4,False
2018-10-07,4,False
2018-10-14,5,False
2018-10-21,5,False
2018-10-28,7,False
2018-11-04,8,False
2018-11-11,10,False
2018-11-18,12,False
2018-11-25,14,False
2018-12-02,20,False
2018-12-09,21,False
2018-12-16,24,False
2018-12-23,55,False
2018-12-30,70,False
2019-01-06,3,False
2019-01-13,1,False
2019-01-20,1,False
2019-01-27,2,False
2019-02-03,5,False
2019-02-10,2,False
2019-02-17,1,False
2019-02-24,1,False
2019-03-03,1,False
2019-03-10,1,False
2019-03-17,1,False
2019-03-24,1,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,1,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,1,False
2019-06-30,1,False
2019-07-07,1,False
2019-07-14,1,False
2019-07-21,1,False
2019-07-28,1,False
2019-08-04,1,False
2019-08-11,1,False
2019-08-18,2,False
2019-08-25,2,False
2019-09-01,3,False
2019-09-08,3,False
2019-09-15,3,False
2019-09-22,3,False
2019-09-29,3,False
2019-10-06,4,False
2019-10-13,5,False
2019-10-20,5,False
2019-10-27,6,False
2019-11-03,8,False
2019-11-10,10,False
2019-11-17,12,False
2019-11-24,12,False
2019-12-01,17,False
2019-12-08,19,False
2019-12-15,23,False
2019-12-22,44,False
2019-12-29,100,False
2020-01-05,4,False
2020-01-12,2,False
2020-01-19,4,False
2020-01-26,2,False
2020-02-02,1,False
2020-02-09,0,False
2020-02-16,1,False
2020-02-23,1,False
2020-03-01,0,False
2020-03-08,1,False
2020-03-15,1,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,1,False
2020-04-19,0,False
2020-04-26,0,True
