date,torte x bambini,isPartial
2018-01-07,32,False
2018-01-14,32,False
2018-01-21,31,False
2018-01-28,31,False
2018-02-04,31,False
2018-02-11,31,False
2018-02-18,0,False
2018-02-25,60,False
2018-03-04,30,False
2018-03-11,31,False
2018-03-18,31,False
2018-03-25,33,False
2018-04-01,0,False
2018-04-08,62,False
2018-04-15,0,False
2018-04-22,33,False
2018-04-29,0,False
2018-05-06,31,False
2018-05-13,0,False
2018-05-20,32,False
2018-05-27,0,False
2018-06-03,32,False
2018-06-10,30,False
2018-06-17,32,False
2018-06-24,32,False
2018-07-01,62,False
2018-07-08,31,False
2018-07-15,32,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,100,False
2018-08-12,0,False
2018-08-19,35,False
2018-08-26,32,False
2018-09-02,61,False
2018-09-09,0,False
2018-09-16,30,False
2018-09-23,0,False
2018-09-30,77,False
2018-10-07,32,False
2018-10-14,32,False
2018-10-21,0,False
2018-10-28,31,False
2018-11-04,0,False
2018-11-11,32,False
2018-11-18,62,False
2018-11-25,31,False
2018-12-02,31,False
2018-12-09,32,False
2018-12-16,100,False
2018-12-23,37,False
2018-12-30,0,False
2019-01-06,47,False
2019-01-13,31,False
2019-01-20,59,False
2019-01-27,29,False
2019-02-03,30,False
2019-02-10,60,False
2019-02-17,31,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,46,False
2019-03-17,31,False
2019-03-24,63,False
2019-03-31,31,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,33,False
2019-04-28,31,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,29,False
2019-06-02,31,False
2019-06-09,31,False
2019-06-16,0,False
2019-06-23,32,False
2019-06-30,0,False
2019-07-07,31,False
2019-07-14,0,False
2019-07-21,32,False
2019-07-28,32,False
2019-08-04,0,False
2019-08-11,35,False
2019-08-18,0,False
2019-08-25,30,False
2019-09-01,57,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,29,False
2019-09-29,58,False
2019-10-06,29,False
2019-10-13,29,False
2019-10-20,28,False
2019-10-27,29,False
2019-11-03,28,False
2019-11-10,56,False
2019-11-17,0,False
2019-11-24,28,False
2019-12-01,0,False
2019-12-08,29,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,64,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,27,False
2020-02-02,27,False
2020-02-09,0,False
2020-02-16,27,False
2020-02-23,0,False
2020-03-01,51,False
2020-03-08,0,False
2020-03-15,37,False
2020-03-22,23,False
2020-03-29,23,False
2020-04-05,25,False
2020-04-12,25,False
2020-04-19,0,False
2020-04-26,0,True
