date,Ilusionismo,isPartial
2018-01-07,20,False
2018-01-14,21,False
2018-01-21,51,False
2018-01-28,20,False
2018-02-04,30,False
2018-02-11,31,False
2018-02-18,31,False
2018-02-25,39,False
2018-03-04,20,False
2018-03-11,20,False
2018-03-18,51,False
2018-03-25,45,False
2018-04-01,52,False
2018-04-08,39,False
2018-04-15,40,False
2018-04-22,20,False
2018-04-29,41,False
2018-05-06,29,False
2018-05-13,41,False
2018-05-20,20,False
2018-05-27,20,False
2018-06-03,20,False
2018-06-10,38,False
2018-06-17,21,False
2018-06-24,21,False
2018-07-01,21,False
2018-07-08,0,False
2018-07-15,21,False
2018-07-22,21,False
2018-07-29,21,False
2018-08-05,21,False
2018-08-12,22,False
2018-08-19,66,False
2018-08-26,21,False
2018-09-02,20,False
2018-09-09,40,False
2018-09-16,30,False
2018-09-23,39,False
2018-09-30,20,False
2018-10-07,61,False
2018-10-14,39,False
2018-10-21,40,False
2018-10-28,61,False
2018-11-04,19,False
2018-11-11,29,False
2018-11-18,19,False
2018-11-25,29,False
2018-12-02,0,False
2018-12-09,41,False
2018-12-16,20,False
2018-12-23,47,False
2018-12-30,33,False
2019-01-06,81,False
2019-01-13,39,False
2019-01-20,0,False
2019-01-27,37,False
2019-02-03,20,False
2019-02-10,99,False
2019-02-17,0,False
2019-02-24,39,False
2019-03-03,30,False
2019-03-10,20,False
2019-03-17,20,False
2019-03-24,50,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,39,False
2019-04-28,29,False
2019-05-05,0,False
2019-05-12,19,False
2019-05-19,19,False
2019-05-26,0,False
2019-06-02,19,False
2019-06-09,19,False
2019-06-16,39,False
2019-06-23,100,False
2019-06-30,20,False
2019-07-07,29,False
2019-07-14,20,False
2019-07-21,0,False
2019-07-28,21,False
2019-08-04,0,False
2019-08-11,42,False
2019-08-18,21,False
2019-08-25,0,False
2019-09-01,28,False
2019-09-08,0,False
2019-09-15,36,False
2019-09-22,18,False
2019-09-29,18,False
2019-10-06,36,False
2019-10-13,18,False
2019-10-20,0,False
2019-10-27,18,False
2019-11-03,17,False
2019-11-10,17,False
2019-11-17,26,False
2019-11-24,25,False
2019-12-01,0,False
2019-12-08,56,False
2019-12-15,35,False
2019-12-22,30,False
2019-12-29,20,False
2020-01-05,36,False
2020-01-12,17,False
2020-01-19,33,False
2020-01-26,0,False
2020-02-02,34,False
2020-02-09,17,False
2020-02-16,34,False
2020-02-23,0,False
2020-03-01,16,False
2020-03-08,16,False
2020-03-15,23,False
2020-03-22,0,False
2020-03-29,29,False
2020-04-05,23,False
2020-04-12,52,True
