date,Hochzeitshaus,isPartial
2018-01-07,39,False
2018-01-14,50,False
2018-01-21,51,False
2018-01-28,38,False
2018-02-04,26,False
2018-02-11,26,False
2018-02-18,26,False
2018-02-25,26,False
2018-03-04,26,False
2018-03-11,51,False
2018-03-18,26,False
2018-03-25,28,False
2018-04-01,56,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,26,False
2018-04-29,27,False
2018-05-06,27,False
2018-05-13,39,False
2018-05-20,54,False
2018-05-27,26,False
2018-06-03,52,False
2018-06-10,100,False
2018-06-17,25,False
2018-06-24,26,False
2018-07-01,26,False
2018-07-08,25,False
2018-07-15,0,False
2018-07-22,82,False
2018-07-29,55,False
2018-08-05,0,False
2018-08-12,82,False
2018-08-19,27,False
2018-08-26,0,False
2018-09-02,26,False
2018-09-09,26,False
2018-09-16,52,False
2018-09-23,26,False
2018-09-30,53,False
2018-10-07,26,False
2018-10-14,27,False
2018-10-21,65,False
2018-10-28,0,False
2018-11-04,25,False
2018-11-11,51,False
2018-11-18,24,False
2018-11-25,0,False
2018-12-02,25,False
2018-12-09,75,False
2018-12-16,0,False
2018-12-23,58,False
2018-12-30,27,False
2019-01-06,72,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,47,False
2019-02-03,36,False
2019-02-10,49,False
2019-02-17,0,False
2019-02-24,38,False
2019-03-03,49,False
2019-03-10,71,False
2019-03-17,0,False
2019-03-24,25,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,26,False
2019-04-28,25,False
2019-05-05,60,False
2019-05-12,25,False
2019-05-19,24,False
2019-05-26,50,False
2019-06-02,25,False
2019-06-09,25,False
2019-06-16,50,False
2019-06-23,25,False
2019-06-30,49,False
2019-07-07,24,False
2019-07-14,52,False
2019-07-21,0,False
2019-07-28,27,False
2019-08-04,27,False
2019-08-11,39,False
2019-08-18,0,False
2019-08-25,99,False
2019-09-01,0,False
2019-09-08,49,False
2019-09-15,0,False
2019-09-22,24,False
2019-09-29,24,False
2019-10-06,47,False
2019-10-13,0,False
2019-10-20,49,False
2019-10-27,59,False
2019-11-03,23,False
2019-11-10,23,False
2019-11-17,23,False
2019-11-24,33,False
2019-12-01,23,False
2019-12-08,68,False
2019-12-15,46,False
2019-12-22,53,False
2019-12-29,25,False
2020-01-05,22,False
2020-01-12,0,False
2020-01-19,44,False
2020-01-26,21,False
2020-02-02,53,False
2020-02-09,85,False
2020-02-16,0,False
2020-02-23,21,False
2020-03-01,0,False
2020-03-08,40,False
2020-03-15,20,False
2020-03-22,19,False
2020-03-29,0,False
2020-04-05,21,False
2020-04-12,0,True
