date,fleur mariage,isPartial
2018-01-07,37,False
2018-01-14,37,False
2018-01-21,37,False
2018-01-28,28,False
2018-02-04,47,False
2018-02-11,37,False
2018-02-18,85,False
2018-02-25,44,False
2018-03-04,18,False
2018-03-11,27,False
2018-03-18,66,False
2018-03-25,19,False
2018-04-01,29,False
2018-04-08,49,False
2018-04-15,43,False
2018-04-22,40,False
2018-04-29,39,False
2018-05-06,62,False
2018-05-13,48,False
2018-05-20,70,False
2018-05-27,48,False
2018-06-03,49,False
2018-06-10,38,False
2018-06-17,20,False
2018-06-24,30,False
2018-07-01,19,False
2018-07-08,20,False
2018-07-15,62,False
2018-07-22,52,False
2018-07-29,53,False
2018-08-05,54,False
2018-08-12,22,False
2018-08-19,83,False
2018-08-26,100,False
2018-09-02,40,False
2018-09-09,60,False
2018-09-16,40,False
2018-09-23,40,False
2018-09-30,40,False
2018-10-07,50,False
2018-10-14,20,False
2018-10-21,20,False
2018-10-28,20,False
2018-11-04,19,False
2018-11-11,20,False
2018-11-18,28,False
2018-11-25,19,False
2018-12-02,29,False
2018-12-09,19,False
2018-12-16,20,False
2018-12-23,22,False
2018-12-30,40,False
2019-01-06,37,False
2019-01-13,19,False
2019-01-20,18,False
2019-01-27,18,False
2019-02-03,37,False
2019-02-10,19,False
2019-02-17,39,False
2019-02-24,66,False
2019-03-03,72,False
2019-03-10,55,False
2019-03-17,38,False
2019-03-24,56,False
2019-03-31,62,False
2019-04-07,27,False
2019-04-14,55,False
2019-04-21,46,False
2019-04-28,62,False
2019-05-05,53,False
2019-05-12,27,False
2019-05-19,36,False
2019-05-26,65,False
2019-06-02,53,False
2019-06-09,34,False
2019-06-16,18,False
2019-06-23,37,False
2019-06-30,18,False
2019-07-07,53,False
2019-07-14,18,False
2019-07-21,28,False
2019-07-28,0,False
2019-08-04,19,False
2019-08-11,20,False
2019-08-18,41,False
2019-08-25,38,False
2019-09-01,26,False
2019-09-08,26,False
2019-09-15,17,False
2019-09-22,35,False
2019-09-29,62,False
2019-10-06,26,False
2019-10-13,17,False
2019-10-20,0,False
2019-10-27,34,False
2019-11-03,16,False
2019-11-10,16,False
2019-11-17,16,False
2019-11-24,32,False
2019-12-01,16,False
2019-12-08,16,False
2019-12-15,16,False
2019-12-22,18,False
2019-12-29,34,False
2020-01-05,40,False
2020-01-12,40,False
2020-01-19,16,False
2020-01-26,47,False
2020-02-02,78,False
2020-02-09,23,False
2020-02-16,23,False
2020-02-23,60,False
2020-03-01,31,False
2020-03-08,45,False
2020-03-15,14,False
2020-03-22,14,False
2020-03-29,14,False
2020-04-05,21,False
2020-04-12,33,True
