date,fleur mariage,isPartial
2018-01-07,0,False
2018-01-14,30,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,30,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,59,False
2018-03-04,31,False
2018-03-11,30,False
2018-03-18,30,False
2018-03-25,61,False
2018-04-01,30,False
2018-04-08,31,False
2018-04-15,32,False
2018-04-22,30,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,63,False
2018-05-27,30,False
2018-06-03,30,False
2018-06-10,58,False
2018-06-17,31,False
2018-06-24,63,False
2018-07-01,30,False
2018-07-08,0,False
2018-07-15,48,False
2018-07-22,0,False
2018-07-29,31,False
2018-08-05,30,False
2018-08-12,0,False
2018-08-19,45,False
2018-08-26,30,False
2018-09-02,31,False
2018-09-09,31,False
2018-09-16,0,False
2018-09-23,94,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,30,False
2018-11-04,0,False
2018-11-11,31,False
2018-11-18,0,False
2018-11-25,30,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,31,False
2018-12-23,34,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,30,False
2019-01-20,30,False
2019-01-27,44,False
2019-02-03,0,False
2019-02-10,95,False
2019-02-17,0,False
2019-02-24,30,False
2019-03-03,29,False
2019-03-10,60,False
2019-03-17,31,False
2019-03-24,32,False
2019-03-31,76,False
2019-04-07,31,False
2019-04-14,31,False
2019-04-21,29,False
2019-04-28,43,False
2019-05-05,29,False
2019-05-12,46,False
2019-05-19,0,False
2019-05-26,29,False
2019-06-02,84,False
2019-06-09,28,False
2019-06-16,89,False
2019-06-23,29,False
2019-06-30,30,False
2019-07-07,29,False
2019-07-14,0,False
2019-07-21,29,False
2019-07-28,29,False
2019-08-04,42,False
2019-08-11,27,False
2019-08-18,58,False
2019-08-25,28,False
2019-09-01,28,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,27,False
2019-10-06,0,False
2019-10-13,28,False
2019-10-20,27,False
2019-10-27,26,False
2019-11-03,26,False
2019-11-10,0,False
2019-11-17,27,False
2019-11-24,0,False
2019-12-01,26,False
2019-12-08,26,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,51,False
2020-01-12,25,False
2020-01-19,26,False
2020-01-26,100,False
2020-02-02,76,False
2020-02-09,37,False
2020-02-16,0,False
2020-02-23,25,False
2020-03-01,24,False
2020-03-08,24,False
2020-03-15,0,False
2020-03-22,21,False
2020-03-29,0,False
2020-04-05,21,False
2020-04-12,50,True
