date,buffet,isPartial
2018-01-07,0,False
2018-01-14,35,False
2018-01-21,70,False
2018-01-28,33,False
2018-02-04,33,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,32,False
2018-03-11,0,False
2018-03-18,33,False
2018-03-25,34,False
2018-04-01,71,False
2018-04-08,35,False
2018-04-15,34,False
2018-04-22,35,False
2018-04-29,0,False
2018-05-06,33,False
2018-05-13,34,False
2018-05-20,51,False
2018-05-27,37,False
2018-06-03,70,False
2018-06-10,0,False
2018-06-17,33,False
2018-06-24,34,False
2018-07-01,34,False
2018-07-08,33,False
2018-07-15,34,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,46,False
2018-08-12,29,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,33,False
2018-09-09,34,False
2018-09-16,33,False
2018-09-23,33,False
2018-09-30,67,False
2018-10-07,72,False
2018-10-14,34,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,100,False
2018-11-11,71,False
2018-11-18,51,False
2018-11-25,34,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,35,False
2018-12-23,34,False
2018-12-30,31,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,31,False
2019-01-27,32,False
2019-02-03,32,False
2019-02-10,47,False
2019-02-17,33,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,33,False
2019-03-17,34,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,32,False
2019-04-14,35,False
2019-04-21,34,False
2019-04-28,32,False
2019-05-05,34,False
2019-05-12,32,False
2019-05-19,0,False
2019-05-26,92,False
2019-06-02,0,False
2019-06-09,35,False
2019-06-16,0,False
2019-06-23,86,False
2019-06-30,0,False
2019-07-07,99,False
2019-07-14,99,False
2019-07-21,0,False
2019-07-28,32,False
2019-08-04,31,False
2019-08-11,0,False
2019-08-18,28,False
2019-08-25,27,False
2019-09-01,29,False
2019-09-08,0,False
2019-09-15,30,False
2019-09-22,31,False
2019-09-29,31,False
2019-10-06,0,False
2019-10-13,64,False
2019-10-20,31,False
2019-10-27,30,False
2019-11-03,29,False
2019-11-10,0,False
2019-11-17,31,False
2019-11-24,29,False
2019-12-01,46,False
2019-12-08,31,False
2019-12-15,31,False
2019-12-22,0,False
2019-12-29,43,False
2020-01-05,29,False
2020-01-12,28,False
2020-01-19,29,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,57,False
2020-02-23,54,False
2020-03-01,27,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,21,False
2020-03-29,22,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,22,False
2020-04-26,0,True
