date,buffet,isPartial
2018-01-07,80,False
2018-01-14,67,False
2018-01-21,54,False
2018-01-28,46,False
2018-02-04,58,False
2018-02-11,58,False
2018-02-18,79,False
2018-02-25,52,False
2018-03-04,54,False
2018-03-11,48,False
2018-03-18,37,False
2018-03-25,35,False
2018-04-01,65,False
2018-04-08,71,False
2018-04-15,72,False
2018-04-22,80,False
2018-04-29,62,False
2018-05-06,72,False
2018-05-13,77,False
2018-05-20,44,False
2018-05-27,52,False
2018-06-03,23,False
2018-06-10,63,False
2018-06-17,42,False
2018-06-24,62,False
2018-07-01,53,False
2018-07-08,54,False
2018-07-15,78,False
2018-07-22,48,False
2018-07-29,63,False
2018-08-05,50,False
2018-08-12,46,False
2018-08-19,50,False
2018-08-26,65,False
2018-09-02,59,False
2018-09-09,65,False
2018-09-16,36,False
2018-09-23,59,False
2018-09-30,58,False
2018-10-07,59,False
2018-10-14,44,False
2018-10-21,32,False
2018-10-28,58,False
2018-11-04,65,False
2018-11-11,29,False
2018-11-18,63,False
2018-11-25,54,False
2018-12-02,69,False
2018-12-09,47,False
2018-12-16,63,False
2018-12-23,57,False
2018-12-30,38,False
2019-01-06,63,False
2019-01-13,45,False
2019-01-20,66,False
2019-01-27,42,False
2019-02-03,56,False
2019-02-10,28,False
2019-02-17,54,False
2019-02-24,69,False
2019-03-03,59,False
2019-03-10,44,False
2019-03-17,44,False
2019-03-24,57,False
2019-03-31,52,False
2019-04-07,58,False
2019-04-14,49,False
2019-04-21,62,False
2019-04-28,57,False
2019-05-05,73,False
2019-05-12,57,False
2019-05-19,71,False
2019-05-26,70,False
2019-06-02,52,False
2019-06-09,84,False
2019-06-16,85,False
2019-06-23,73,False
2019-06-30,91,False
2019-07-07,22,False
2019-07-14,50,False
2019-07-21,52,False
2019-07-28,74,False
2019-08-04,49,False
2019-08-11,65,False
2019-08-18,79,False
2019-08-25,70,False
2019-09-01,46,False
2019-09-08,65,False
2019-09-15,45,False
2019-09-22,65,False
2019-09-29,52,False
2019-10-06,97,False
2019-10-13,62,False
2019-10-20,83,False
2019-10-27,37,False
2019-11-03,81,False
2019-11-10,27,False
2019-11-17,42,False
2019-11-24,39,False
2019-12-01,44,False
2019-12-08,34,False
2019-12-15,100,False
2019-12-22,99,False
2019-12-29,64,False
2020-01-05,37,False
2020-01-12,38,False
2020-01-19,71,False
2020-01-26,41,False
2020-02-02,44,False
2020-02-09,67,False
2020-02-16,44,False
2020-02-23,48,False
2020-03-01,36,False
2020-03-08,18,False
2020-03-15,27,False
2020-03-22,20,False
2020-03-29,15,False
2020-04-05,12,False
2020-04-12,19,False
2020-04-19,30,False
2020-04-26,10,True
