date,Blechdach,isPartial
2018-01-07,97,False
2018-01-14,0,False
2018-01-21,73,False
2018-01-28,50,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,94,False
2018-02-25,47,False
2018-03-04,48,False
2018-03-11,95,False
2018-03-18,0,False
2018-03-25,49,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,49,False
2018-04-29,50,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,100,False
2018-06-03,48,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,97,False
2018-07-15,0,False
2018-07-22,74,False
2018-07-29,50,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,46,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,93,False
2018-09-23,47,False
2018-09-30,47,False
2018-10-07,48,False
2018-10-14,96,False
2018-10-21,47,False
2018-10-28,48,False
2018-11-04,45,False
2018-11-11,46,False
2018-11-18,0,False
2018-11-25,46,False
2018-12-02,92,False
2018-12-09,46,False
2018-12-16,0,False
2018-12-23,51,False
2018-12-30,46,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,43,False
2019-01-27,43,False
2019-02-03,47,False
2019-02-10,0,False
2019-02-17,43,False
2019-02-24,0,False
2019-03-03,44,False
2019-03-10,0,False
2019-03-17,44,False
2019-03-24,44,False
2019-03-31,45,False
2019-04-07,0,False
2019-04-14,49,False
2019-04-21,46,False
2019-04-28,43,False
2019-05-05,42,False
2019-05-12,42,False
2019-05-19,0,False
2019-05-26,42,False
2019-06-02,44,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,44,False
2019-07-07,42,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,68,False
2019-08-11,43,False
2019-08-18,42,False
2019-08-25,81,False
2019-09-01,39,False
2019-09-08,42,False
2019-09-15,84,False
2019-09-22,41,False
2019-09-29,0,False
2019-10-06,61,False
2019-10-13,41,False
2019-10-20,40,False
2019-10-27,40,False
2019-11-03,0,False
2019-11-10,39,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,41,False
2019-12-22,44,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,36,False
2020-01-19,37,False
2020-01-26,37,False
2020-02-02,39,False
2020-02-09,37,False
2020-02-16,38,False
2020-02-23,0,False
2020-03-01,36,False
2020-03-08,71,False
2020-03-15,33,False
2020-03-22,62,False
2020-03-29,31,False
2020-04-05,35,False
2020-04-12,33,False
2020-04-19,0,False
2020-04-26,33,False
2020-05-03,34,False
2020-05-10,50,False
2020-05-17,72,False
2020-05-24,0,False
2020-05-31,33,False
2020-06-07,0,False
2020-06-14,50,False
2020-06-21,36,False
2020-06-28,0,False
2020-07-05,0,False
