date,production vidéo,isPartial
2018-01-07,37,False
2018-01-14,0,False
2018-01-21,81,False
2018-01-28,41,False
2018-02-04,36,False
2018-02-11,57,False
2018-02-18,50,False
2018-02-25,37,False
2018-03-04,24,False
2018-03-11,49,False
2018-03-18,33,False
2018-03-25,50,False
2018-04-01,100,False
2018-04-08,37,False
2018-04-15,27,False
2018-04-22,26,False
2018-04-29,51,False
2018-05-06,40,False
2018-05-13,50,False
2018-05-20,38,False
2018-05-27,24,False
2018-06-03,25,False
2018-06-10,59,False
2018-06-17,25,False
2018-06-24,74,False
2018-07-01,24,False
2018-07-08,51,False
2018-07-15,54,False
2018-07-22,27,False
2018-07-29,27,False
2018-08-05,82,False
2018-08-12,42,False
2018-08-19,27,False
2018-08-26,52,False
2018-09-02,25,False
2018-09-09,42,False
2018-09-16,50,False
2018-09-23,50,False
2018-09-30,42,False
2018-10-07,25,False
2018-10-14,50,False
2018-10-21,25,False
2018-10-28,38,False
2018-11-04,57,False
2018-11-11,65,False
2018-11-18,24,False
2018-11-25,49,False
2018-12-02,37,False
2018-12-09,67,False
2018-12-16,51,False
2018-12-23,29,False
2018-12-30,54,False
2019-01-06,24,False
2019-01-13,49,False
2019-01-20,35,False
2019-01-27,71,False
2019-02-03,0,False
2019-02-10,25,False
2019-02-17,38,False
2019-02-24,25,False
2019-03-03,48,False
2019-03-10,24,False
2019-03-17,25,False
2019-03-24,34,False
2019-03-31,49,False
2019-04-07,38,False
2019-04-14,42,False
2019-04-21,42,False
2019-04-28,33,False
2019-05-05,24,False
2019-05-12,57,False
2019-05-19,24,False
2019-05-26,25,False
2019-06-02,23,False
2019-06-09,71,False
2019-06-16,37,False
2019-06-23,48,False
2019-06-30,24,False
2019-07-07,24,False
2019-07-14,38,False
2019-07-21,51,False
2019-07-28,53,False
2019-08-04,52,False
2019-08-11,26,False
2019-08-18,26,False
2019-08-25,49,False
2019-09-01,31,False
2019-09-08,31,False
2019-09-15,23,False
2019-09-22,68,False
2019-09-29,30,False
2019-10-06,46,False
2019-10-13,23,False
2019-10-20,46,False
2019-10-27,34,False
2019-11-03,44,False
2019-11-10,22,False
2019-11-17,33,False
2019-11-24,44,False
2019-12-01,22,False
2019-12-08,22,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,39,False
2020-01-05,22,False
2020-01-12,21,False
2020-01-19,22,False
2020-01-26,35,False
2020-02-02,36,False
2020-02-09,64,False
2020-02-16,32,False
2020-02-23,73,False
2020-03-01,21,False
2020-03-08,20,False
2020-03-15,19,False
2020-03-22,38,False
2020-03-29,44,False
2020-04-05,19,False
2020-04-12,19,False
2020-04-19,38,False
2020-04-26,27,False
2020-05-03,27,False
2020-05-10,38,False
2020-05-17,72,True
