date,piante da appartamento,isPartial
2018-01-07,42,False
2018-01-14,28,False
2018-01-21,54,False
2018-01-28,27,False
2018-02-04,53,False
2018-02-11,52,False
2018-02-18,49,False
2018-02-25,24,False
2018-03-04,24,False
2018-03-11,97,False
2018-03-18,62,False
2018-03-25,26,False
2018-04-01,82,False
2018-04-08,0,False
2018-04-15,50,False
2018-04-22,27,False
2018-04-29,51,False
2018-05-06,48,False
2018-05-13,0,False
2018-05-20,37,False
2018-05-27,26,False
2018-06-03,26,False
2018-06-10,0,False
2018-06-17,36,False
2018-06-24,51,False
2018-07-01,25,False
2018-07-08,0,False
2018-07-15,26,False
2018-07-22,78,False
2018-07-29,0,False
2018-08-05,28,False
2018-08-12,100,False
2018-08-19,35,False
2018-08-26,0,False
2018-09-02,63,False
2018-09-09,49,False
2018-09-16,23,False
2018-09-23,36,False
2018-09-30,61,False
2018-10-07,25,False
2018-10-14,37,False
2018-10-21,0,False
2018-10-28,60,False
2018-11-04,46,False
2018-11-11,24,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,23,False
2018-12-09,51,False
2018-12-16,26,False
2018-12-23,49,False
2018-12-30,28,False
2019-01-06,83,False
2019-01-13,40,False
2019-01-20,64,False
2019-01-27,23,False
2019-02-03,27,False
2019-02-10,27,False
2019-02-17,53,False
2019-02-24,24,False
2019-03-03,28,False
2019-03-10,56,False
2019-03-17,28,False
2019-03-24,28,False
2019-03-31,54,False
2019-04-07,51,False
2019-04-14,26,False
2019-04-21,61,False
2019-04-28,53,False
2019-05-05,36,False
2019-05-12,26,False
2019-05-19,53,False
2019-05-26,25,False
2019-06-02,27,False
2019-06-09,0,False
2019-06-16,83,False
2019-06-23,0,False
2019-06-30,58,False
2019-07-07,0,False
2019-07-14,58,False
2019-07-21,57,False
2019-07-28,46,False
2019-08-04,82,False
2019-08-11,0,False
2019-08-18,34,False
2019-08-25,44,False
2019-09-01,25,False
2019-09-08,40,False
2019-09-15,25,False
2019-09-22,0,False
2019-09-29,26,False
2019-10-06,0,False
2019-10-13,40,False
2019-10-20,39,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,76,False
2019-11-17,26,False
2019-11-24,26,False
2019-12-01,26,False
2019-12-08,0,False
2019-12-15,53,False
2019-12-22,32,False
2019-12-29,0,False
2020-01-05,26,False
2020-01-12,36,False
2020-01-19,50,False
2020-01-26,24,False
2020-02-02,48,False
2020-02-09,37,False
2020-02-16,49,False
2020-02-23,72,False
2020-03-01,71,False
2020-03-08,47,False
2020-03-15,46,False
2020-03-22,22,False
2020-03-29,56,False
2020-04-05,47,False
2020-04-12,59,False
2020-04-19,44,False
2020-04-26,78,True
