date,piante da appartamento,isPartial
2018-01-07,39,False
2018-01-14,31,False
2018-01-21,16,False
2018-01-28,30,False
2018-02-04,31,False
2018-02-11,31,False
2018-02-18,24,False
2018-02-25,31,False
2018-03-04,32,False
2018-03-11,32,False
2018-03-18,17,False
2018-03-25,0,False
2018-04-01,18,False
2018-04-08,34,False
2018-04-15,26,False
2018-04-22,0,False
2018-04-29,17,False
2018-05-06,17,False
2018-05-13,41,False
2018-05-20,17,False
2018-05-27,34,False
2018-06-03,17,False
2018-06-10,16,False
2018-06-17,17,False
2018-06-24,0,False
2018-07-01,16,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,34,False
2018-07-29,0,False
2018-08-05,17,False
2018-08-12,0,False
2018-08-19,17,False
2018-08-26,16,False
2018-09-02,32,False
2018-09-09,25,False
2018-09-16,0,False
2018-09-23,100,False
2018-09-30,16,False
2018-10-07,17,False
2018-10-14,35,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,17,False
2018-11-18,0,False
2018-11-25,17,False
2018-12-02,35,False
2018-12-09,18,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,36,False
2019-01-06,32,False
2019-01-13,49,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,46,False
2019-02-10,0,False
2019-02-17,16,False
2019-02-24,31,False
2019-03-03,0,False
2019-03-10,16,False
2019-03-17,0,False
2019-03-24,16,False
2019-03-31,16,False
2019-04-07,0,False
2019-04-14,17,False
2019-04-21,16,False
2019-04-28,15,False
2019-05-05,30,False
2019-05-12,15,False
2019-05-19,0,False
2019-05-26,29,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,16,False
2019-06-23,16,False
2019-06-30,16,False
2019-07-07,16,False
2019-07-14,34,False
2019-07-21,0,False
2019-07-28,17,False
2019-08-04,17,False
2019-08-11,38,False
2019-08-18,0,False
2019-08-25,31,False
2019-09-01,22,False
2019-09-08,16,False
2019-09-15,23,False
2019-09-22,23,False
2019-09-29,0,False
2019-10-06,30,False
2019-10-13,45,False
2019-10-20,0,False
2019-10-27,22,False
2019-11-03,14,False
2019-11-10,43,False
2019-11-17,22,False
2019-11-24,15,False
2019-12-01,15,False
2019-12-08,15,False
2019-12-15,23,False
2019-12-22,17,False
2019-12-29,16,False
2020-01-05,29,False
2020-01-12,28,False
2020-01-19,28,False
2020-01-26,14,False
2020-02-02,69,False
2020-02-09,35,False
2020-02-16,21,False
2020-02-23,27,False
2020-03-01,0,False
2020-03-08,25,False
2020-03-15,13,False
2020-03-22,24,False
2020-03-29,12,False
2020-04-05,32,False
2020-04-12,26,False
2020-04-19,31,False
2020-04-26,64,True
