date,Türen streichen,isPartial
2018-01-07,32,False
2018-01-14,32,False
2018-01-21,0,False
2018-01-28,47,False
2018-02-04,32,False
2018-02-11,99,False
2018-02-18,0,False
2018-02-25,33,False
2018-03-04,33,False
2018-03-11,33,False
2018-03-18,33,False
2018-03-25,0,False
2018-04-01,36,False
2018-04-08,34,False
2018-04-15,0,False
2018-04-22,33,False
2018-04-29,45,False
2018-05-06,34,False
2018-05-13,33,False
2018-05-20,35,False
2018-05-27,52,False
2018-06-03,49,False
2018-06-10,63,False
2018-06-17,31,False
2018-06-24,32,False
2018-07-01,0,False
2018-07-08,31,False
2018-07-15,0,False
2018-07-22,32,False
2018-07-29,66,False
2018-08-05,34,False
2018-08-12,35,False
2018-08-19,35,False
2018-08-26,35,False
2018-09-02,34,False
2018-09-09,66,False
2018-09-16,66,False
2018-09-23,66,False
2018-09-30,33,False
2018-10-07,0,False
2018-10-14,48,False
2018-10-21,32,False
2018-10-28,0,False
2018-11-04,31,False
2018-11-11,48,False
2018-11-18,46,False
2018-11-25,47,False
2018-12-02,31,False
2018-12-09,0,False
2018-12-16,33,False
2018-12-23,38,False
2018-12-30,85,False
2019-01-06,30,False
2019-01-13,39,False
2019-01-20,30,False
2019-01-27,30,False
2019-02-03,59,False
2019-02-10,30,False
2019-02-17,46,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,32,False
2019-03-24,0,False
2019-03-31,32,False
2019-04-07,47,False
2019-04-14,34,False
2019-04-21,0,False
2019-04-28,52,False
2019-05-05,30,False
2019-05-12,31,False
2019-05-19,61,False
2019-05-26,42,False
2019-06-02,31,False
2019-06-09,33,False
2019-06-16,32,False
2019-06-23,32,False
2019-06-30,61,False
2019-07-07,30,False
2019-07-14,0,False
2019-07-21,32,False
2019-07-28,47,False
2019-08-04,33,False
2019-08-11,0,False
2019-08-18,34,False
2019-08-25,100,False
2019-09-01,31,False
2019-09-08,31,False
2019-09-15,31,False
2019-09-22,30,False
2019-09-29,30,False
2019-10-06,59,False
2019-10-13,59,False
2019-10-20,58,False
2019-10-27,58,False
2019-11-03,28,False
2019-11-10,29,False
2019-11-17,29,False
2019-11-24,29,False
2019-12-01,45,False
2019-12-08,30,False
2019-12-15,30,False
2019-12-22,34,False
2019-12-29,0,False
2020-01-05,28,False
2020-01-12,41,False
2020-01-19,28,False
2020-01-26,83,False
2020-02-02,27,False
2020-02-09,53,False
2020-02-16,70,False
2020-02-23,28,False
2020-03-01,27,False
2020-03-08,0,False
2020-03-15,41,False
2020-03-22,50,False
2020-03-29,58,False
2020-04-05,28,False
2020-04-12,53,False
2020-04-19,26,False
2020-04-26,25,False
2020-05-03,59,False
2020-05-10,38,False
2020-05-17,63,True
