date,Türen streichen,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,48,False
2018-02-11,24,False
2018-02-18,24,False
2018-02-25,36,False
2018-03-04,24,False
2018-03-11,24,False
2018-03-18,24,False
2018-03-25,0,False
2018-04-01,25,False
2018-04-08,25,False
2018-04-15,100,False
2018-04-22,74,False
2018-04-29,51,False
2018-05-06,25,False
2018-05-13,24,False
2018-05-20,35,False
2018-05-27,26,False
2018-06-03,0,False
2018-06-10,32,False
2018-06-17,24,False
2018-06-24,24,False
2018-07-01,24,False
2018-07-08,36,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,26,False
2018-08-12,54,False
2018-08-19,0,False
2018-08-26,53,False
2018-09-02,25,False
2018-09-09,25,False
2018-09-16,24,False
2018-09-23,25,False
2018-09-30,25,False
2018-10-07,24,False
2018-10-14,24,False
2018-10-21,0,False
2018-10-28,71,False
2018-11-04,23,False
2018-11-11,46,False
2018-11-18,22,False
2018-11-25,57,False
2018-12-02,23,False
2018-12-09,23,False
2018-12-16,0,False
2018-12-23,27,False
2018-12-30,25,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,22,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,23,False
2019-02-17,22,False
2019-02-24,57,False
2019-03-03,23,False
2019-03-10,44,False
2019-03-17,53,False
2019-03-24,23,False
2019-03-31,22,False
2019-04-07,0,False
2019-04-14,24,False
2019-04-21,48,False
2019-04-28,23,False
2019-05-05,33,False
2019-05-12,0,False
2019-05-19,44,False
2019-05-26,23,False
2019-06-02,23,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,22,False
2019-07-07,22,False
2019-07-14,0,False
2019-07-21,23,False
2019-07-28,24,False
2019-08-04,25,False
2019-08-11,24,False
2019-08-18,25,False
2019-08-25,25,False
2019-09-01,24,False
2019-09-08,0,False
2019-09-15,91,False
2019-09-22,22,False
2019-09-29,45,False
2019-10-06,0,False
2019-10-13,21,False
2019-10-20,0,False
2019-10-27,36,False
2019-11-03,21,False
2019-11-10,21,False
2019-11-17,42,False
2019-11-24,21,False
2019-12-01,53,False
2019-12-08,21,False
2019-12-15,22,False
2019-12-22,37,False
2019-12-29,23,False
2020-01-05,27,False
2020-01-12,20,False
2020-01-19,0,False
2020-01-26,20,False
2020-02-02,20,False
2020-02-09,0,False
2020-02-16,21,False
2020-02-23,39,False
2020-03-01,19,False
2020-03-08,18,False
2020-03-15,18,False
2020-03-22,47,False
2020-03-29,18,False
2020-04-05,19,False
2020-04-12,31,False
2020-04-19,18,False
2020-04-26,17,False
2020-05-03,27,False
2020-05-10,18,False
2020-05-17,43,True
