date,Rollläden,isPartial
2018-01-07,47,False
2018-01-14,47,False
2018-01-21,35,False
2018-01-28,0,False
2018-02-04,49,False
2018-02-11,36,False
2018-02-18,23,False
2018-02-25,47,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,36,False
2018-03-25,0,False
2018-04-01,65,False
2018-04-08,51,False
2018-04-15,76,False
2018-04-22,100,False
2018-04-29,65,False
2018-05-06,52,False
2018-05-13,25,False
2018-05-20,26,False
2018-05-27,51,False
2018-06-03,74,False
2018-06-10,24,False
2018-06-17,36,False
2018-06-24,48,False
2018-07-01,25,False
2018-07-08,49,False
2018-07-15,26,False
2018-07-22,0,False
2018-07-29,39,False
2018-08-05,25,False
2018-08-12,26,False
2018-08-19,25,False
2018-08-26,24,False
2018-09-02,49,False
2018-09-09,37,False
2018-09-16,50,False
2018-09-23,50,False
2018-09-30,37,False
2018-10-07,25,False
2018-10-14,0,False
2018-10-21,25,False
2018-10-28,25,False
2018-11-04,48,False
2018-11-11,0,False
2018-11-18,24,False
2018-11-25,24,False
2018-12-02,48,False
2018-12-09,36,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,37,False
2019-01-06,0,False
2019-01-13,34,False
2019-01-20,33,False
2019-01-27,22,False
2019-02-03,23,False
2019-02-10,45,False
2019-02-17,45,False
2019-02-24,45,False
2019-03-03,22,False
2019-03-10,66,False
2019-03-17,47,False
2019-03-24,70,False
2019-03-31,36,False
2019-04-07,23,False
2019-04-14,76,False
2019-04-21,25,False
2019-04-28,24,False
2019-05-05,45,False
2019-05-12,0,False
2019-05-19,92,False
2019-05-26,69,False
2019-06-02,35,False
2019-06-09,96,False
2019-06-16,71,False
2019-06-23,84,False
2019-06-30,71,False
2019-07-07,23,False
2019-07-14,25,False
2019-07-21,50,False
2019-07-28,48,False
2019-08-04,25,False
2019-08-11,37,False
2019-08-18,24,False
2019-08-25,23,False
2019-09-01,45,False
2019-09-08,23,False
2019-09-15,46,False
2019-09-22,0,False
2019-09-29,22,False
2019-10-06,33,False
2019-10-13,22,False
2019-10-20,22,False
2019-10-27,22,False
2019-11-03,21,False
2019-11-10,32,False
2019-11-17,43,False
2019-11-24,21,False
2019-12-01,22,False
2019-12-08,54,False
2019-12-15,22,False
2019-12-22,25,False
2019-12-29,68,False
2020-01-05,93,False
2020-01-12,39,False
2020-01-19,30,False
2020-01-26,30,False
2020-02-02,60,False
2020-02-09,40,False
2020-02-16,40,False
2020-02-23,28,False
2020-03-01,19,False
2020-03-08,19,False
2020-03-15,19,False
2020-03-22,27,False
2020-03-29,19,False
2020-04-05,41,False
2020-04-12,20,False
2020-04-19,38,False
2020-04-26,77,False
2020-05-03,30,False
2020-05-10,68,False
2020-05-17,0,False
2020-05-24,29,False
2020-05-31,89,False
2020-06-07,60,False
2020-06-14,38,False
2020-06-21,30,False
2020-06-28,0,False
2020-07-05,63,False
