date,travaux rénovation,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,42,False
2018-02-18,0,False
2018-02-25,41,False
2018-03-04,0,False
2018-03-11,61,False
2018-03-18,40,False
2018-03-25,0,False
2018-04-01,41,False
2018-04-08,41,False
2018-04-15,44,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,87,False
2018-06-24,43,False
2018-07-01,0,False
2018-07-08,44,False
2018-07-15,45,False
2018-07-22,45,False
2018-07-29,44,False
2018-08-05,43,False
2018-08-12,44,False
2018-08-19,0,False
2018-08-26,42,False
2018-09-02,43,False
2018-09-09,42,False
2018-09-16,0,False
2018-09-23,42,False
2018-09-30,42,False
2018-10-07,84,False
2018-10-14,0,False
2018-10-21,43,False
2018-10-28,39,False
2018-11-04,39,False
2018-11-11,41,False
2018-11-18,39,False
2018-11-25,38,False
2018-12-02,0,False
2018-12-09,40,False
2018-12-16,41,False
2018-12-23,42,False
2018-12-30,41,False
2019-01-06,38,False
2019-01-13,0,False
2019-01-20,36,False
2019-01-27,36,False
2019-02-03,0,False
2019-02-10,40,False
2019-02-17,42,False
2019-02-24,0,False
2019-03-03,37,False
2019-03-10,39,False
2019-03-17,40,False
2019-03-24,100,False
2019-03-31,39,False
2019-04-07,0,False
2019-04-14,41,False
2019-04-21,39,False
2019-04-28,37,False
2019-05-05,37,False
2019-05-12,0,False
2019-05-19,37,False
2019-05-26,40,False
2019-06-02,0,False
2019-06-09,37,False
2019-06-16,40,False
2019-06-23,80,False
2019-06-30,38,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,40,False
2019-07-28,41,False
2019-08-04,40,False
2019-08-11,0,False
2019-08-18,39,False
2019-08-25,38,False
2019-09-01,37,False
2019-09-08,38,False
2019-09-15,38,False
2019-09-22,36,False
2019-09-29,35,False
2019-10-06,53,False
2019-10-13,37,False
2019-10-20,0,False
2019-10-27,34,False
2019-11-03,34,False
2019-11-10,0,False
2019-11-17,47,False
2019-11-24,68,False
2019-12-01,68,False
2019-12-08,34,False
2019-12-15,34,False
2019-12-22,36,False
2019-12-29,71,False
2020-01-05,33,False
2020-01-12,0,False
2020-01-19,34,False
2020-01-26,66,False
2020-02-02,34,False
2020-02-09,33,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,33,False
2020-03-08,32,False
2020-03-15,30,False
2020-03-22,28,False
2020-03-29,28,False
2020-04-05,57,False
2020-04-12,29,False
2020-04-19,43,False
2020-04-26,0,False
2020-05-03,0,False
2020-05-10,30,False
2020-05-17,32,False
2020-05-24,63,False
2020-05-31,58,False
2020-06-07,30,False
2020-06-14,31,False
2020-06-21,0,True
