date,indimenticabile,isPartial
2018-01-07,15,False
2018-01-14,19,False
2018-01-21,26,False
2018-01-28,10,False
2018-02-04,14,False
2018-02-11,15,False
2018-02-18,16,False
2018-02-25,10,False
2018-03-04,23,False
2018-03-11,20,False
2018-03-18,10,False
2018-03-25,18,False
2018-04-01,16,False
2018-04-08,10,False
2018-04-15,12,False
2018-04-22,12,False
2018-04-29,24,False
2018-05-06,12,False
2018-05-13,20,False
2018-05-20,12,False
2018-05-27,15,False
2018-06-03,9,False
2018-06-10,34,False
2018-06-17,21,False
2018-06-24,22,False
2018-07-01,15,False
2018-07-08,26,False
2018-07-15,24,False
2018-07-22,19,False
2018-07-29,17,False
2018-08-05,19,False
2018-08-12,25,False
2018-08-19,26,False
2018-08-26,15,False
2018-09-02,16,False
2018-09-09,13,False
2018-09-16,24,False
2018-09-23,17,False
2018-09-30,9,False
2018-10-07,10,False
2018-10-14,18,False
2018-10-21,13,False
2018-10-28,16,False
2018-11-04,18,False
2018-11-11,13,False
2018-11-18,20,False
2018-11-25,10,False
2018-12-02,24,False
2018-12-09,15,False
2018-12-16,14,False
2018-12-23,9,False
2018-12-30,14,False
2019-01-06,12,False
2019-01-13,23,False
2019-01-20,11,False
2019-01-27,14,False
2019-02-03,15,False
2019-02-10,21,False
2019-02-17,23,False
2019-02-24,13,False
2019-03-03,12,False
2019-03-10,16,False
2019-03-17,100,False
2019-03-24,78,False
2019-03-31,19,False
2019-04-07,14,False
2019-04-14,18,False
2019-04-21,19,False
2019-04-28,19,False
2019-05-05,49,False
2019-05-12,15,False
2019-05-19,28,False
2019-05-26,22,False
2019-06-02,22,False
2019-06-09,35,False
2019-06-16,20,False
2019-06-23,19,False
2019-06-30,28,False
2019-07-07,29,False
2019-07-14,4,False
2019-07-21,19,False
2019-07-28,12,False
2019-08-04,17,False
2019-08-11,18,False
2019-08-18,20,False
2019-08-25,14,False
2019-09-01,17,False
2019-09-08,36,False
2019-09-15,19,False
2019-09-22,38,False
2019-09-29,15,False
2019-10-06,18,False
2019-10-13,38,False
2019-10-20,23,False
2019-10-27,16,False
2019-11-03,14,False
2019-11-10,16,False
2019-11-17,22,False
2019-11-24,13,False
2019-12-01,20,False
2019-12-08,21,False
2019-12-15,18,False
2019-12-22,19,False
2019-12-29,27,False
2020-01-05,12,False
2020-01-12,14,False
2020-01-19,59,False
2020-01-26,15,False
2020-02-02,17,False
2020-02-09,14,False
2020-02-16,9,False
2020-02-23,15,False
2020-03-01,12,False
2020-03-08,17,False
2020-03-15,14,False
2020-03-22,18,False
2020-03-29,20,False
2020-04-05,22,False
2020-04-12,10,False
2020-04-19,18,False
2020-04-26,13,True
