date,indimenticabile,isPartial
2018-01-07,0,False
2018-01-14,76,False
2018-01-21,30,False
2018-01-28,15,False
2018-02-04,0,False
2018-02-11,30,False
2018-02-18,14,False
2018-02-25,22,False
2018-03-04,28,False
2018-03-11,14,False
2018-03-18,0,False
2018-03-25,30,False
2018-04-01,16,False
2018-04-08,29,False
2018-04-15,15,False
2018-04-22,31,False
2018-04-29,37,False
2018-05-06,14,False
2018-05-13,29,False
2018-05-20,21,False
2018-05-27,29,False
2018-06-03,15,False
2018-06-10,65,False
2018-06-17,15,False
2018-06-24,30,False
2018-07-01,30,False
2018-07-08,15,False
2018-07-15,30,False
2018-07-22,46,False
2018-07-29,32,False
2018-08-05,35,False
2018-08-12,30,False
2018-08-19,20,False
2018-08-26,16,False
2018-09-02,28,False
2018-09-09,49,False
2018-09-16,21,False
2018-09-23,35,False
2018-09-30,14,False
2018-10-07,21,False
2018-10-14,14,False
2018-10-21,14,False
2018-10-28,56,False
2018-11-04,13,False
2018-11-11,14,False
2018-11-18,34,False
2018-11-25,14,False
2018-12-02,42,False
2018-12-09,42,False
2018-12-16,14,False
2018-12-23,26,False
2018-12-30,33,False
2019-01-06,29,False
2019-01-13,27,False
2019-01-20,27,False
2019-01-27,40,False
2019-02-03,55,False
2019-02-10,27,False
2019-02-17,0,False
2019-02-24,14,False
2019-03-03,42,False
2019-03-10,49,False
2019-03-17,100,False
2019-03-24,58,False
2019-03-31,36,False
2019-04-07,28,False
2019-04-14,15,False
2019-04-21,24,False
2019-04-28,22,False
2019-05-05,35,False
2019-05-12,21,False
2019-05-19,14,False
2019-05-26,13,False
2019-06-02,22,False
2019-06-09,28,False
2019-06-16,0,False
2019-06-23,15,False
2019-06-30,15,False
2019-07-07,36,False
2019-07-14,15,False
2019-07-21,62,False
2019-07-28,16,False
2019-08-04,52,False
2019-08-11,19,False
2019-08-18,27,False
2019-08-25,32,False
2019-09-01,0,False
2019-09-08,21,False
2019-09-15,40,False
2019-09-22,40,False
2019-09-29,20,False
2019-10-06,27,False
2019-10-13,27,False
2019-10-20,19,False
2019-10-27,26,False
2019-11-03,0,False
2019-11-10,13,False
2019-11-17,25,False
2019-11-24,25,False
2019-12-01,26,False
2019-12-08,13,False
2019-12-15,20,False
2019-12-22,32,False
2019-12-29,23,False
2020-01-05,20,False
2020-01-12,24,False
2020-01-19,38,False
2020-01-26,18,False
2020-02-02,37,False
2020-02-09,19,False
2020-02-16,12,False
2020-02-23,12,False
2020-03-01,23,False
2020-03-08,34,False
2020-03-15,12,False
2020-03-22,11,False
2020-03-29,11,False
2020-04-05,30,False
2020-04-12,30,False
2020-04-19,23,False
2020-04-26,0,True
