date,Treppensanierung,isPartial
2018-01-07,24,False
2018-01-14,48,False
2018-01-21,40,False
2018-01-28,72,False
2018-02-04,25,False
2018-02-11,25,False
2018-02-18,0,False
2018-02-25,32,False
2018-03-04,48,False
2018-03-11,36,False
2018-03-18,32,False
2018-03-25,39,False
2018-04-01,26,False
2018-04-08,25,False
2018-04-15,34,False
2018-04-22,49,False
2018-04-29,38,False
2018-05-06,26,False
2018-05-13,24,False
2018-05-20,26,False
2018-05-27,50,False
2018-06-03,41,False
2018-06-10,24,False
2018-06-17,48,False
2018-06-24,25,False
2018-07-01,25,False
2018-07-08,24,False
2018-07-15,50,False
2018-07-22,38,False
2018-07-29,0,False
2018-08-05,37,False
2018-08-12,51,False
2018-08-19,34,False
2018-08-26,100,False
2018-09-02,74,False
2018-09-09,49,False
2018-09-16,33,False
2018-09-23,58,False
2018-09-30,49,False
2018-10-07,24,False
2018-10-14,49,False
2018-10-21,40,False
2018-10-28,36,False
2018-11-04,35,False
2018-11-11,64,False
2018-11-18,35,False
2018-11-25,48,False
2018-12-02,23,False
2018-12-09,71,False
2018-12-16,24,False
2018-12-23,37,False
2018-12-30,38,False
2019-01-06,23,False
2019-01-13,37,False
2019-01-20,66,False
2019-01-27,52,False
2019-02-03,61,False
2019-02-10,54,False
2019-02-17,47,False
2019-02-24,39,False
2019-03-03,61,False
2019-03-10,23,False
2019-03-17,55,False
2019-03-24,58,False
2019-03-31,0,False
2019-04-07,23,False
2019-04-14,25,False
2019-04-21,74,False
2019-04-28,54,False
2019-05-05,22,False
2019-05-12,35,False
2019-05-19,23,False
2019-05-26,24,False
2019-06-02,46,False
2019-06-09,47,False
2019-06-16,55,False
2019-06-23,24,False
2019-06-30,31,False
2019-07-07,23,False
2019-07-14,36,False
2019-07-21,50,False
2019-07-28,0,False
2019-08-04,41,False
2019-08-11,39,False
2019-08-18,72,False
2019-08-25,23,False
2019-09-01,31,False
2019-09-08,46,False
2019-09-15,39,False
2019-09-22,45,False
2019-09-29,30,False
2019-10-06,22,False
2019-10-13,52,False
2019-10-20,33,False
2019-10-27,51,False
2019-11-03,32,False
2019-11-10,64,False
2019-11-17,0,False
2019-11-24,21,False
2019-12-01,43,False
2019-12-08,22,False
2019-12-15,59,False
2019-12-22,25,False
2019-12-29,23,False
2020-01-05,31,False
2020-01-12,33,False
2020-01-19,41,False
2020-01-26,20,False
2020-02-02,20,False
2020-02-09,20,False
2020-02-16,63,False
2020-02-23,20,False
2020-03-01,40,False
2020-03-08,38,False
2020-03-15,28,False
2020-03-22,28,False
2020-03-29,18,False
2020-04-05,51,False
2020-04-12,29,False
2020-04-19,28,False
2020-04-26,37,False
2020-05-03,31,False
2020-05-10,19,False
