date,Hochzeitsanzug,isPartial
2018-01-07,51,False
2018-01-14,50,False
2018-01-21,42,False
2018-01-28,51,False
2018-02-04,51,False
2018-02-11,64,False
2018-02-18,51,False
2018-02-25,33,False
2018-03-04,33,False
2018-03-11,50,False
2018-03-18,26,False
2018-03-25,71,False
2018-04-01,39,False
2018-04-08,65,False
2018-04-15,44,False
2018-04-22,100,False
2018-04-29,26,False
2018-05-06,54,False
2018-05-13,34,False
2018-05-20,40,False
2018-05-27,25,False
2018-06-03,51,False
2018-06-10,25,False
2018-06-17,50,False
2018-06-24,26,False
2018-07-01,53,False
2018-07-08,27,False
2018-07-15,56,False
2018-07-22,27,False
2018-07-29,26,False
2018-08-05,48,False
2018-08-12,32,False
2018-08-19,48,False
2018-08-26,49,False
2018-09-02,25,False
2018-09-09,0,False
2018-09-16,42,False
2018-09-23,25,False
2018-09-30,0,False
2018-10-07,53,False
2018-10-14,25,False
2018-10-21,25,False
2018-10-28,25,False
2018-11-04,32,False
2018-11-11,25,False
2018-11-18,49,False
2018-11-25,33,False
2018-12-02,49,False
2018-12-09,0,False
2018-12-16,26,False
2018-12-23,28,False
2018-12-30,26,False
2019-01-06,58,False
2019-01-13,47,False
2019-01-20,39,False
2019-01-27,59,False
2019-02-03,59,False
2019-02-10,40,False
2019-02-17,24,False
2019-02-24,25,False
2019-03-03,40,False
2019-03-10,69,False
2019-03-17,49,False
2019-03-24,24,False
2019-03-31,49,False
2019-04-07,51,False
2019-04-14,54,False
2019-04-21,25,False
2019-04-28,37,False
2019-05-05,84,False
2019-05-12,37,False
2019-05-19,48,False
2019-05-26,36,False
2019-06-02,24,False
2019-06-09,35,False
2019-06-16,55,False
2019-06-23,24,False
2019-06-30,48,False
2019-07-07,25,False
2019-07-14,51,False
2019-07-21,53,False
2019-07-28,59,False
2019-08-04,25,False
2019-08-11,45,False
2019-08-18,23,False
2019-08-25,23,False
2019-09-01,22,False
2019-09-08,47,False
2019-09-15,0,False
2019-09-22,23,False
2019-09-29,47,False
2019-10-06,35,False
2019-10-13,46,False
2019-10-20,45,False
2019-10-27,22,False
2019-11-03,66,False
2019-11-10,33,False
2019-11-17,45,False
2019-11-24,21,False
2019-12-01,33,False
2019-12-08,66,False
2019-12-15,33,False
2019-12-22,36,False
2019-12-29,45,False
2020-01-05,84,False
2020-01-12,47,False
2020-01-19,21,False
2020-01-26,63,False
2020-02-02,42,False
2020-02-09,41,False
2020-02-16,85,False
2020-02-23,35,False
2020-03-01,85,False
2020-03-08,72,False
2020-03-15,19,False
2020-03-22,20,False
2020-03-29,19,False
2020-04-05,21,False
2020-04-12,0,False
2020-04-19,19,False
2020-04-26,38,False
2020-05-03,20,False
2020-05-10,38,False
2020-05-17,30,False
2020-05-24,49,False
2020-05-31,19,False
2020-06-07,19,False
2020-06-14,28,False
2020-06-21,27,False
2020-06-28,19,False
2020-07-05,26,False
2020-07-12,53,False
2020-07-19,43,False
