date,Hochzeitsanzug,isPartial
2018-01-07,30,False
2018-01-14,100,False
2018-01-21,29,False
2018-01-28,29,False
2018-02-04,30,False
2018-02-11,44,False
2018-02-18,30,False
2018-02-25,74,False
2018-03-04,74,False
2018-03-11,43,False
2018-03-18,45,False
2018-03-25,48,False
2018-04-01,64,False
2018-04-08,31,False
2018-04-15,47,False
2018-04-22,30,False
2018-04-29,47,False
2018-05-06,16,False
2018-05-13,0,False
2018-05-20,33,False
2018-05-27,16,False
2018-06-03,0,False
2018-06-10,15,False
2018-06-17,45,False
2018-06-24,30,False
2018-07-01,59,False
2018-07-08,90,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,32,False
2018-08-05,33,False
2018-08-12,17,False
2018-08-19,34,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,30,False
2018-09-23,31,False
2018-09-30,62,False
2018-10-07,0,False
2018-10-14,15,False
2018-10-21,44,False
2018-10-28,15,False
2018-11-04,43,False
2018-11-11,29,False
2018-11-18,14,False
2018-11-25,43,False
2018-12-02,28,False
2018-12-09,14,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,41,False
2019-01-13,0,False
2019-01-20,40,False
2019-01-27,41,False
2019-02-03,27,False
2019-02-10,0,False
2019-02-17,14,False
2019-02-24,28,False
2019-03-03,28,False
2019-03-10,14,False
2019-03-17,43,False
2019-03-24,28,False
2019-03-31,70,False
2019-04-07,28,False
2019-04-14,15,False
2019-04-21,59,False
2019-04-28,14,False
2019-05-05,41,False
2019-05-12,70,False
2019-05-19,14,False
2019-05-26,0,False
2019-06-02,56,False
2019-06-09,45,False
2019-06-16,0,False
2019-06-23,14,False
2019-06-30,14,False
2019-07-07,67,False
2019-07-14,57,False
2019-07-21,15,False
2019-07-28,60,False
2019-08-04,16,False
2019-08-11,15,False
2019-08-18,0,False
2019-08-25,31,False
2019-09-01,0,False
2019-09-08,28,False
2019-09-15,14,False
2019-09-22,14,False
2019-09-29,42,False
2019-10-06,67,False
2019-10-13,40,False
2019-10-20,13,False
2019-10-27,40,False
2019-11-03,0,False
2019-11-10,66,False
2019-11-17,26,False
2019-11-24,0,False
2019-12-01,13,False
2019-12-08,0,False
2019-12-15,13,False
2019-12-22,45,False
2019-12-29,29,False
2020-01-05,26,False
2020-01-12,86,False
2020-01-19,25,False
2020-01-26,37,False
2020-02-02,37,False
2020-02-09,61,False
2020-02-16,26,False
2020-02-23,25,False
2020-03-01,12,False
2020-03-08,34,False
2020-03-15,11,False
2020-03-22,0,False
2020-03-29,11,False
2020-04-05,12,False
2020-04-12,88,True
