date,Kunststofffenster,isPartial
2018-01-07,17,False
2018-01-14,34,False
2018-01-21,17,False
2018-01-28,34,False
2018-02-04,70,False
2018-02-11,0,False
2018-02-18,34,False
2018-02-25,51,False
2018-03-04,34,False
2018-03-11,51,False
2018-03-18,51,False
2018-03-25,36,False
2018-04-01,38,False
2018-04-08,18,False
2018-04-15,18,False
2018-04-22,37,False
2018-04-29,76,False
2018-05-06,19,False
2018-05-13,54,False
2018-05-20,37,False
2018-05-27,0,False
2018-06-03,36,False
2018-06-10,17,False
2018-06-17,35,False
2018-06-24,17,False
2018-07-01,35,False
2018-07-08,35,False
2018-07-15,18,False
2018-07-22,19,False
2018-07-29,19,False
2018-08-05,0,False
2018-08-12,19,False
2018-08-19,18,False
2018-08-26,53,False
2018-09-02,72,False
2018-09-09,36,False
2018-09-16,54,False
2018-09-23,18,False
2018-09-30,18,False
2018-10-07,36,False
2018-10-14,18,False
2018-10-21,36,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,85,False
2018-11-25,17,False
2018-12-02,35,False
2018-12-09,17,False
2018-12-16,18,False
2018-12-23,20,False
2018-12-30,18,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,16,False
2019-01-27,48,False
2019-02-03,17,False
2019-02-10,16,False
2019-02-17,32,False
2019-02-24,32,False
2019-03-03,16,False
2019-03-10,32,False
2019-03-17,0,False
2019-03-24,83,False
2019-03-31,34,False
2019-04-07,34,False
2019-04-14,73,False
2019-04-21,18,False
2019-04-28,34,False
2019-05-05,0,False
2019-05-12,16,False
2019-05-19,33,False
2019-05-26,0,False
2019-06-02,34,False
2019-06-09,35,False
2019-06-16,68,False
2019-06-23,35,False
2019-06-30,35,False
2019-07-07,51,False
2019-07-14,18,False
2019-07-21,0,False
2019-07-28,35,False
2019-08-04,54,False
2019-08-11,17,False
2019-08-18,34,False
2019-08-25,33,False
2019-09-01,16,False
2019-09-08,67,False
2019-09-15,17,False
2019-09-22,49,False
2019-09-29,47,False
2019-10-06,16,False
2019-10-13,16,False
2019-10-20,16,False
2019-10-27,0,False
2019-11-03,47,False
2019-11-10,31,False
2019-11-17,0,False
2019-11-24,15,False
2019-12-01,16,False
2019-12-08,31,False
2019-12-15,16,False
2019-12-22,53,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,28,False
2020-01-19,15,False
2020-01-26,43,False
2020-02-02,14,False
2020-02-09,29,False
2020-02-16,0,False
2020-02-23,55,False
2020-03-01,28,False
2020-03-08,27,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,27,False
2020-04-05,15,False
2020-04-12,100,False
2020-04-19,28,False
2020-04-26,42,False
2020-05-03,42,False
2020-05-10,70,False
2020-05-17,76,False
2020-05-24,28,False
2020-05-31,57,False
2020-06-07,43,False
2020-06-14,14,False
2020-06-21,57,False
2020-06-28,14,False
2020-07-05,15,False
