date,hochzeit hotel,hochzeit bauernhof,hochzeit villa,hochzeit schloss,isPartial
2018-01-07,0,0,0,32,False
2018-01-14,31,0,31,31,False
2018-01-21,31,0,0,0,False
2018-01-28,32,0,0,32,False
2018-02-04,0,0,0,97,False
2018-02-11,32,0,0,0,False
2018-02-18,32,0,0,0,False
2018-02-25,32,0,0,31,False
2018-03-04,63,0,0,31,False
2018-03-11,62,0,0,31,False
2018-03-18,31,0,0,47,False
2018-03-25,33,0,0,33,False
2018-04-01,69,0,0,35,False
2018-04-08,65,0,32,32,False
2018-04-15,65,0,0,97,False
2018-04-22,33,0,33,33,False
2018-04-29,50,0,0,34,False
2018-05-06,0,0,0,0,False
2018-05-13,0,0,31,31,False
2018-05-20,66,0,0,0,False
2018-05-27,0,0,31,31,False
2018-06-03,0,0,0,0,False
2018-06-10,31,0,31,30,False
2018-06-17,0,0,0,31,False
2018-06-24,31,0,32,32,False
2018-07-01,0,0,30,31,False
2018-07-08,32,0,0,0,False
2018-07-15,0,0,35,0,False
2018-07-22,0,0,0,36,False
2018-07-29,38,0,0,77,False
2018-08-05,68,0,34,34,False
2018-08-12,32,0,0,64,False
2018-08-19,31,0,63,47,False
2018-08-26,0,0,0,30,False
2018-09-02,30,0,31,30,False
2018-09-09,46,0,30,76,False
2018-09-16,0,0,31,31,False
2018-09-23,62,0,31,31,False
2018-09-30,31,0,31,31,False
2018-10-07,99,0,0,33,False
2018-10-14,100,0,0,66,False
2018-10-21,0,0,0,0,False
2018-10-28,0,0,0,28,False
2018-11-04,0,0,0,0,False
2018-11-11,31,0,30,31,False
2018-11-18,31,0,0,31,False
2018-11-25,27,0,54,27,False
2018-12-02,0,0,63,0,False
2018-12-09,0,0,0,96,False
2018-12-16,0,0,0,0,False
2018-12-23,0,0,0,43,False
2018-12-30,0,0,0,0,False
2019-01-06,28,0,28,28,False
2019-01-13,0,0,0,31,False
2019-01-20,29,0,29,29,False
2019-01-27,42,0,0,28,False
2019-02-03,0,0,48,32,False
2019-02-10,0,0,33,0,False
2019-02-17,32,0,0,0,False
2019-02-24,30,0,0,30,False
2019-03-03,27,0,0,27,False
2019-03-10,0,0,0,0,False
2019-03-17,0,0,0,0,False
2019-03-24,31,0,31,62,False
2019-03-31,31,0,0,31,False
2019-04-07,25,0,0,25,False
2019-04-14,0,0,34,0,False
2019-04-21,0,0,0,0,False
2019-04-28,28,0,0,0,False
2019-05-05,30,0,0,30,False
2019-05-12,45,0,0,61,False
2019-05-19,30,0,0,30,False
2019-05-26,33,0,0,33,False
2019-06-02,29,0,0,30,False
2019-06-09,0,0,0,31,False
2019-06-16,0,0,32,32,False
2019-06-23,33,0,33,33,False
2019-06-30,31,0,0,0,False
2019-07-07,0,0,0,0,False
2019-07-14,68,0,0,0,False
2019-07-21,0,0,75,75,False
2019-07-28,39,0,39,0,False
2019-08-04,0,0,36,0,False
2019-08-11,32,0,0,0,False
2019-08-18,47,0,31,0,False
2019-08-25,31,0,0,31,False
2019-09-01,0,0,0,28,False
2019-09-08,0,0,0,0,False
2019-09-15,0,0,0,0,False
2019-09-22,0,0,0,30,False
2019-09-29,0,0,0,30,False
2019-10-06,63,0,0,94,False
2019-10-13,30,0,0,0,False
2019-10-20,0,0,0,29,False
2019-10-27,29,0,0,58,False
2019-11-03,0,0,29,0,False
2019-11-10,60,0,30,30,False
2019-11-17,30,0,0,0,False
2019-11-24,0,0,0,28,False
2019-12-01,29,0,0,0,False
2019-12-08,29,0,29,0,False
2019-12-15,30,0,0,0,False
2019-12-22,0,0,38,0,False
2019-12-29,0,0,0,0,False
2020-01-05,0,0,0,59,False
2020-01-12,56,0,28,0,False
2020-01-19,29,0,0,0,False
2020-01-26,0,0,0,28,False
2020-02-02,28,0,29,58,False
2020-02-09,29,0,0,0,False
2020-02-16,29,0,0,59,False
2020-02-23,0,0,0,27,False
2020-03-01,0,0,0,28,False
2020-03-08,0,0,0,26,False
2020-03-15,0,0,0,0,False
2020-03-22,0,0,0,0,False
2020-03-29,0,0,0,27,False
2020-04-05,0,0,0,30,False
2020-04-12,30,0,30,30,False
2020-04-19,28,0,28,0,False
2020-04-26,0,0,0,27,False
