date,matrimonio ristorante,matrimonio cascina,matrimonio borgo,matrimonio villa,matrimonio castello,isPartial
2018-01-07,51,0,0,52,26,False
2018-01-14,26,0,0,26,0,False
2018-01-21,0,0,0,0,51,False
2018-01-28,0,0,0,25,0,False
2018-02-04,0,0,0,49,25,False
2018-02-11,0,0,0,51,0,False
2018-02-18,0,0,0,49,24,False
2018-02-25,0,0,0,24,23,False
2018-03-04,0,0,0,25,25,False
2018-03-11,0,0,0,51,25,False
2018-03-18,25,0,0,25,0,False
2018-03-25,27,0,0,27,0,False
2018-04-01,0,0,0,0,0,False
2018-04-08,26,0,0,26,0,False
2018-04-15,0,0,0,0,52,False
2018-04-22,0,0,0,83,0,False
2018-04-29,0,0,0,27,26,False
2018-05-06,26,0,0,52,26,False
2018-05-13,26,0,0,53,0,False
2018-05-20,0,0,0,52,26,False
2018-05-27,27,0,0,41,0,False
2018-06-03,79,0,0,53,26,False
2018-06-10,0,0,0,48,0,False
2018-06-17,0,0,0,25,0,False
2018-06-24,0,0,0,24,0,False
2018-07-01,0,0,0,50,25,False
2018-07-08,0,0,0,0,25,False
2018-07-15,50,0,0,51,0,False
2018-07-22,0,0,0,49,0,False
2018-07-29,0,0,0,0,25,False
2018-08-05,0,0,0,72,24,False
2018-08-12,22,0,0,22,0,False
2018-08-19,44,0,0,43,22,False
2018-08-26,22,0,0,100,22,False
2018-09-02,48,0,0,48,48,False
2018-09-09,25,0,0,50,50,False
2018-09-16,0,0,0,25,25,False
2018-09-23,25,0,0,0,25,False
2018-09-30,0,0,0,0,25,False
2018-10-07,0,0,0,0,0,False
2018-10-14,0,0,0,40,0,False
2018-10-21,0,0,0,53,26,False
2018-10-28,26,0,0,0,26,False
2018-11-04,26,0,0,26,0,False
2018-11-11,0,0,0,67,27,False
2018-11-18,0,0,0,26,0,False
2018-11-25,26,0,0,26,26,False
2018-12-02,28,0,0,28,28,False
2018-12-09,0,0,0,0,26,False
2018-12-16,0,0,0,27,0,False
2018-12-23,0,0,0,56,42,False
2018-12-30,0,0,0,0,26,False
2019-01-06,25,0,0,25,50,False
2019-01-13,0,0,0,0,0,False
2019-01-20,0,0,0,0,23,False
2019-01-27,0,0,0,0,0,False
2019-02-03,0,0,0,45,23,False
2019-02-10,0,0,0,23,0,False
2019-02-17,24,0,0,0,24,False
2019-02-24,0,0,0,0,0,False
2019-03-03,25,0,0,0,25,False
2019-03-10,24,0,0,59,0,False
2019-03-17,25,0,0,37,25,False
2019-03-24,24,0,0,36,24,False
2019-03-31,0,0,0,36,0,False
2019-04-07,0,0,0,23,47,False
2019-04-14,0,0,0,0,0,False
2019-04-21,25,0,0,25,25,False
2019-04-28,23,0,0,35,0,False
2019-05-05,0,0,0,23,23,False
2019-05-12,23,0,0,23,0,False
2019-05-19,95,0,0,23,47,False
2019-05-26,0,0,0,43,22,False
2019-06-02,49,0,0,36,0,False
2019-06-09,25,0,0,49,0,False
2019-06-16,0,0,0,25,25,False
2019-06-23,24,0,0,48,0,False
2019-06-30,24,0,0,0,0,False
2019-07-07,0,0,0,0,0,False
2019-07-14,0,0,0,23,23,False
2019-07-21,24,0,0,0,0,False
2019-07-28,0,0,0,23,0,False
2019-08-04,46,0,0,46,23,False
2019-08-11,0,0,0,23,24,False
2019-08-18,0,0,0,34,23,False
2019-08-25,22,0,0,89,22,False
2019-09-01,21,0,0,54,22,False
2019-09-08,0,0,0,22,0,False
2019-09-15,0,0,0,0,0,False
2019-09-22,22,0,0,87,0,False
2019-09-29,22,0,0,44,22,False
2019-10-06,23,0,0,0,0,False
2019-10-13,0,0,0,34,0,False
2019-10-20,22,0,0,44,33,False
2019-10-27,0,0,0,22,0,False
2019-11-03,0,0,0,21,0,False
2019-11-10,0,0,0,22,22,False
2019-11-17,23,0,0,22,0,False
2019-11-24,0,0,0,21,0,False
2019-12-01,22,0,0,22,22,False
2019-12-08,0,0,0,23,0,False
2019-12-15,0,0,0,23,0,False
2019-12-22,0,0,0,48,0,False
2019-12-29,0,0,0,0,23,False
2020-01-05,0,0,0,64,0,False
2020-01-12,0,0,0,21,0,False
2020-01-19,21,0,0,21,21,False
2020-01-26,0,0,0,21,0,False
2020-02-02,0,0,0,0,0,False
2020-02-09,0,0,0,84,0,False
2020-02-16,21,0,0,42,21,False
2020-02-23,0,0,0,0,20,False
2020-03-01,20,0,0,39,0,False
2020-03-08,0,0,0,37,0,False
2020-03-15,0,0,0,18,0,False
2020-03-22,17,0,0,17,0,False
2020-03-29,0,0,0,17,0,False
2020-04-05,0,0,0,18,0,False
2020-04-12,18,0,0,36,36,False
2020-04-19,0,0,0,17,17,False
2020-04-26,17,0,0,35,0,False
2020-05-03,0,0,0,18,0,False
2020-05-10,0,0,0,0,42,True
