date,hochzeit hotel,hochzeit schloss,hochzeit villa,isPartial
2018-01-07,0,36,0,False
2018-01-14,34,35,0,False
2018-01-21,0,71,0,False
2018-01-28,71,71,0,False
2018-02-04,0,75,0,False
2018-02-11,0,0,0,False
2018-02-18,0,0,0,False
2018-02-25,0,0,0,False
2018-03-04,0,36,0,False
2018-03-11,36,0,0,False
2018-03-18,36,72,0,False
2018-03-25,39,0,0,False
2018-04-01,0,39,0,False
2018-04-08,38,38,0,False
2018-04-15,0,0,0,False
2018-04-22,0,37,0,False
2018-04-29,0,39,0,False
2018-05-06,79,100,0,False
2018-05-13,0,75,0,False
2018-05-20,39,39,0,False
2018-05-27,36,36,0,False
2018-06-03,0,37,0,False
2018-06-10,35,35,0,False
2018-06-17,35,53,0,False
2018-06-24,36,36,0,False
2018-07-01,0,72,0,False
2018-07-08,35,54,0,False
2018-07-15,39,38,0,False
2018-07-22,38,38,0,False
2018-07-29,38,38,0,False
2018-08-05,0,55,0,False
2018-08-12,0,0,0,False
2018-08-19,0,36,0,False
2018-08-26,0,37,0,False
2018-09-02,37,37,0,False
2018-09-09,0,73,0,False
2018-09-16,37,37,0,False
2018-09-23,0,0,0,False
2018-09-30,37,73,0,False
2018-10-07,37,37,0,False
2018-10-14,0,37,0,False
2018-10-21,37,0,0,False
2018-10-28,37,0,0,False
2018-11-04,35,0,0,False
2018-11-11,0,35,0,False
2018-11-18,0,34,0,False
2018-11-25,0,35,0,False
2018-12-02,0,0,0,False
2018-12-09,0,34,0,False
2018-12-16,0,0,0,False
2018-12-23,0,37,0,False
2018-12-30,0,0,0,False
2019-01-06,33,33,0,False
2019-01-13,65,33,0,False
2019-01-20,0,49,0,False
2019-01-27,0,33,0,False
2019-02-03,69,34,0,False
2019-02-10,33,0,0,False
2019-02-17,67,51,0,False
2019-02-24,0,0,0,False
2019-03-03,32,0,0,False
2019-03-10,0,97,0,False
2019-03-17,34,34,0,False
2019-03-24,0,34,0,False
2019-03-31,36,36,0,False
2019-04-07,0,35,0,False
2019-04-14,75,37,0,False
2019-04-21,0,36,0,False
2019-04-28,0,33,0,False
2019-05-05,0,33,0,False
2019-05-12,34,0,0,False
2019-05-19,0,0,0,False
2019-05-26,34,34,0,False
2019-06-02,34,0,0,False
2019-06-09,0,33,0,False
2019-06-16,0,34,0,False
2019-06-23,0,0,0,False
2019-06-30,0,34,0,False
2019-07-07,68,34,0,False
2019-07-14,35,35,0,False
2019-07-21,0,36,0,False
2019-07-28,0,65,0,False
2019-08-04,0,45,0,False
2019-08-11,65,32,0,False
2019-08-18,0,32,0,False
2019-08-25,97,54,0,False
2019-09-01,32,32,0,False
2019-09-08,33,49,0,False
2019-09-15,33,33,0,False
2019-09-22,64,0,0,False
2019-09-29,0,31,0,False
2019-10-06,0,33,0,False
2019-10-13,0,32,0,False
2019-10-20,62,31,0,False
2019-10-27,30,31,0,False
2019-11-03,30,30,0,False
2019-11-10,0,30,0,False
2019-11-17,30,30,0,False
2019-11-24,30,0,0,False
2019-12-01,0,0,0,False
2019-12-08,30,30,0,False
2019-12-15,31,31,0,False
2019-12-22,32,32,0,False
2019-12-29,31,31,0,False
2020-01-05,29,38,0,False
2020-01-12,28,28,0,False
2020-01-19,0,44,0,False
2020-01-26,0,29,0,False
2020-02-02,30,0,0,False
2020-02-09,28,28,0,False
2020-02-16,28,28,0,False
2020-02-23,27,27,0,False
2020-03-01,28,28,0,False
2020-03-08,27,0,0,False
2020-03-15,0,25,0,False
2020-03-22,0,0,0,False
2020-03-29,24,47,0,False
2020-04-05,0,27,0,False
2020-04-12,0,26,0,False
2020-04-19,0,25,0,False
2020-04-26,0,24,0,False
2020-05-03,0,25,0,False
2020-05-10,0,25,0,False
2020-05-17,27,27,0,False
2020-05-24,0,34,0,False
2020-05-31,26,25,0,False
2020-06-07,28,56,0,True
