date,hochzeit hotel,hochzeit schloss,hochzeit villa,isPartial
2018-01-07,0,0,0,False
2018-01-14,33,98,0,False
2018-01-21,0,33,0,False
2018-01-28,33,33,0,False
2018-02-04,34,34,0,False
2018-02-11,33,33,0,False
2018-02-18,0,0,0,False
2018-02-25,0,100,0,False
2018-03-04,34,0,0,False
2018-03-11,0,0,0,False
2018-03-18,34,0,0,False
2018-03-25,0,0,0,False
2018-04-01,0,0,0,False
2018-04-08,0,36,0,False
2018-04-15,0,0,0,False
2018-04-22,0,0,0,False
2018-04-29,75,0,0,False
2018-05-06,0,78,0,False
2018-05-13,0,53,0,False
2018-05-20,0,74,0,False
2018-05-27,35,0,0,False
2018-06-03,36,0,0,False
2018-06-10,0,0,0,False
2018-06-17,34,34,0,False
2018-06-24,0,71,0,False
2018-07-01,0,54,0,False
2018-07-08,71,59,0,False
2018-07-15,0,0,0,False
2018-07-22,0,36,0,False
2018-07-29,0,36,0,False
2018-08-05,0,0,0,False
2018-08-12,34,34,0,False
2018-08-19,0,34,0,False
2018-08-26,0,0,0,False
2018-09-02,0,0,0,False
2018-09-09,0,35,0,False
2018-09-16,35,69,0,False
2018-09-23,51,34,0,False
2018-09-30,0,0,0,False
2018-10-07,0,36,0,False
2018-10-14,0,0,0,False
2018-10-21,0,33,0,False
2018-10-28,32,0,0,False
2018-11-04,0,32,0,False
2018-11-11,0,33,0,False
2018-11-18,31,0,0,False
2018-11-25,32,49,0,False
2018-12-02,64,32,0,False
2018-12-09,0,32,0,False
2018-12-16,0,0,0,False
2018-12-23,0,70,0,False
2018-12-30,32,32,0,False
2019-01-06,60,30,0,False
2019-01-13,30,30,0,False
2019-01-20,0,30,0,False
2019-01-27,29,29,0,False
2019-02-03,30,30,0,False
2019-02-10,32,32,0,False
2019-02-17,31,31,0,False
2019-02-24,47,31,0,False
2019-03-03,0,0,0,False
2019-03-10,0,30,0,False
2019-03-17,0,32,0,False
2019-03-24,0,31,0,False
2019-03-31,32,32,0,False
2019-04-07,32,32,0,False
2019-04-14,35,35,0,False
2019-04-21,0,33,0,False
2019-04-28,31,31,0,False
2019-05-05,30,0,0,False
2019-05-12,0,31,0,False
2019-05-19,31,31,0,False
2019-05-26,0,0,0,False
2019-06-02,31,0,0,False
2019-06-09,31,32,0,False
2019-06-16,0,31,0,False
2019-06-23,0,32,0,False
2019-06-30,0,0,0,False
2019-07-07,0,64,0,False
2019-07-14,0,68,0,False
2019-07-21,35,35,0,False
2019-07-28,34,34,0,False
2019-08-04,34,0,0,False
2019-08-11,0,64,0,False
2019-08-18,32,0,0,False
2019-08-25,0,62,0,False
2019-09-01,31,0,0,False
2019-09-08,0,31,0,False
2019-09-15,0,63,0,False
2019-09-22,0,30,0,False
2019-09-29,0,0,0,False
2019-10-06,0,0,0,False
2019-10-13,31,0,0,False
2019-10-20,29,0,0,False
2019-10-27,28,28,0,False
2019-11-03,0,0,0,False
2019-11-10,0,28,0,False
2019-11-17,0,0,0,False
2019-11-24,0,28,0,False
2019-12-01,0,29,0,False
2019-12-08,0,58,0,False
2019-12-15,0,0,0,False
2019-12-22,30,31,0,False
2019-12-29,29,0,0,False
2020-01-05,0,27,0,False
2020-01-12,26,26,0,False
2020-01-19,27,27,0,False
2020-01-26,27,27,0,False
2020-02-02,26,0,0,False
2020-02-09,27,27,0,False
2020-02-16,0,26,0,False
2020-02-23,0,26,0,False
2020-03-01,26,0,0,False
2020-03-08,0,25,0,False
2020-03-15,0,0,0,False
2020-03-22,23,0,0,False
2020-03-29,0,23,0,False
2020-04-05,0,53,0,False
2020-04-12,0,0,0,False
2020-04-19,0,0,0,False
2020-04-26,23,23,0,False
2020-05-03,0,24,0,False
2020-05-10,0,0,0,False
2020-05-17,0,0,0,False
2020-05-24,0,25,0,False
2020-05-31,24,48,0,False
2020-06-07,0,54,0,True
