date,hochzeit hotel,hochzeit schloss,hochzeit villa,isPartial
2018-01-07,29,29,29,False
2018-01-14,19,38,0,False
2018-01-21,19,19,0,False
2018-01-28,28,37,37,False
2018-02-04,20,20,20,False
2018-02-11,0,19,0,False
2018-02-18,57,19,19,False
2018-02-25,39,19,19,False
2018-03-04,37,19,18,False
2018-03-11,56,28,0,False
2018-03-18,56,38,0,False
2018-03-25,41,20,0,False
2018-04-01,21,21,0,False
2018-04-08,20,49,0,False
2018-04-15,20,30,20,False
2018-04-22,20,20,0,False
2018-04-29,40,40,0,False
2018-05-06,21,21,0,False
2018-05-13,30,100,0,False
2018-05-20,73,31,31,False
2018-05-27,48,19,19,False
2018-06-03,39,69,20,False
2018-06-10,37,19,0,False
2018-06-17,19,19,0,False
2018-06-24,0,30,20,False
2018-07-01,20,20,0,False
2018-07-08,41,41,0,False
2018-07-15,44,43,21,False
2018-07-22,23,23,0,False
2018-07-29,0,23,23,False
2018-08-05,33,44,0,False
2018-08-12,44,89,22,False
2018-08-19,31,52,0,False
2018-08-26,0,20,0,False
2018-09-02,49,49,30,False
2018-09-09,39,49,30,False
2018-09-16,40,80,0,False
2018-09-23,59,30,0,False
2018-09-30,61,46,15,False
2018-10-07,49,16,0,False
2018-10-14,20,20,0,False
2018-10-21,21,31,0,False
2018-10-28,30,40,0,False
2018-11-04,37,37,19,False
2018-11-11,29,59,19,False
2018-11-18,38,19,19,False
2018-11-25,19,19,19,False
2018-12-02,19,39,0,False
2018-12-09,0,20,40,False
2018-12-16,21,0,21,False
2018-12-23,79,39,26,False
2018-12-30,45,45,0,False
2019-01-06,18,18,0,False
2019-01-13,33,24,0,False
2019-01-20,0,26,26,False
2019-01-27,30,15,15,False
2019-02-03,29,48,0,False
2019-02-10,19,28,0,False
2019-02-17,19,94,0,False
2019-02-24,28,19,0,False
2019-03-03,16,16,0,False
2019-03-10,0,37,0,False
2019-03-17,0,77,0,False
2019-03-24,0,0,0,False
2019-03-31,19,19,0,False
2019-04-07,46,46,15,False
2019-04-14,32,32,0,False
2019-04-21,22,33,22,False
2019-04-28,23,16,16,False
2019-05-05,19,28,0,False
2019-05-12,19,38,19,False
2019-05-19,0,19,38,False
2019-05-26,0,39,0,False
2019-06-02,0,25,17,False
2019-06-09,0,29,0,False
2019-06-16,0,19,19,False
2019-06-23,30,30,20,False
2019-06-30,20,20,20,False
2019-07-07,19,39,0,False
2019-07-14,20,40,0,False
2019-07-21,41,41,0,False
2019-07-28,20,30,30,False
2019-08-04,20,60,0,False
2019-08-11,58,48,0,False
2019-08-18,19,29,19,False
2019-08-25,0,18,27,False
2019-09-01,27,0,18,False
2019-09-08,19,19,0,False
2019-09-15,37,0,0,False
2019-09-22,19,19,0,False
2019-09-29,25,51,17,False
2019-10-06,38,19,38,False
2019-10-13,19,66,19,False
2019-10-20,18,55,18,False
2019-10-27,18,27,18,False
2019-11-03,0,23,0,False
2019-11-10,0,0,0,False
2019-11-17,18,18,0,False
2019-11-24,35,17,0,False
2019-12-01,17,25,0,False
2019-12-08,18,36,0,False
2019-12-15,0,0,19,False
2019-12-22,24,0,24,False
2019-12-29,19,29,0,False
2020-01-05,16,33,33,False
2020-01-12,34,25,0,False
2020-01-19,0,18,0,False
2020-01-26,35,52,0,False
2020-02-02,27,18,0,False
2020-02-09,16,16,31,False
2020-02-16,61,26,17,False
2020-02-23,17,17,33,False
2020-03-01,0,16,0,False
2020-03-08,0,15,30,False
2020-03-15,0,0,17,False
2020-03-22,17,17,0,False
2020-03-29,17,0,0,False
2020-04-05,0,0,0,False
2020-04-12,0,0,0,False
2020-04-19,0,17,0,False
2020-04-26,16,32,0,False
2020-05-03,0,23,0,False
2020-05-10,16,33,16,False
2020-05-17,18,18,0,False
2020-05-24,26,18,0,False
2020-05-31,15,0,15,False
2020-06-07,19,19,0,True
