date,Sonnensegel Balkon,isPartial
2018-01-07,4,False
2018-01-14,4,False
2018-01-21,6,False
2018-01-28,6,False
2018-02-04,6,False
2018-02-11,4,False
2018-02-18,5,False
2018-02-25,6,False
2018-03-04,6,False
2018-03-11,12,False
2018-03-18,3,False
2018-03-25,23,False
2018-04-01,23,False
2018-04-08,57,False
2018-04-15,70,False
2018-04-22,22,False
2018-04-29,22,False
2018-05-06,46,False
2018-05-13,21,False
2018-05-20,42,False
2018-05-27,32,False
2018-06-03,34,False
2018-06-10,18,False
2018-06-17,14,False
2018-06-24,15,False
2018-07-01,21,False
2018-07-08,13,False
2018-07-15,27,False
2018-07-22,28,False
2018-07-29,30,False
2018-08-05,20,False
2018-08-12,7,False
2018-08-19,6,False
2018-08-26,4,False
2018-09-02,6,False
2018-09-09,6,False
2018-09-16,7,False
2018-09-23,3,False
2018-09-30,6,False
2018-10-07,4,False
2018-10-14,5,False
2018-10-21,6,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,3,False
2018-11-18,0,False
2018-11-25,3,False
2018-12-02,3,False
2018-12-09,3,False
2018-12-16,3,False
2018-12-23,3,False
2018-12-30,3,False
2019-01-06,3,False
2019-01-13,5,False
2019-01-20,3,False
2019-01-27,3,False
2019-02-03,4,False
2019-02-10,13,False
2019-02-17,14,False
2019-02-24,8,False
2019-03-03,7,False
2019-03-10,8,False
2019-03-17,17,False
2019-03-24,16,False
2019-03-31,20,False
2019-04-07,22,False
2019-04-14,38,False
2019-04-21,20,False
2019-04-28,19,False
2019-05-05,12,False
2019-05-12,8,False
2019-05-19,13,False
2019-05-26,37,False
2019-06-02,60,False
2019-06-09,31,False
2019-06-16,42,False
2019-06-23,62,False
2019-06-30,39,False
2019-07-07,9,False
2019-07-14,7,False
2019-07-21,33,False
2019-07-28,8,False
2019-08-04,12,False
2019-08-11,6,False
2019-08-18,6,False
2019-08-25,10,False
2019-09-01,7,False
2019-09-08,3,False
2019-09-15,3,False
2019-09-22,5,False
2019-09-29,3,False
2019-10-06,4,False
2019-10-13,4,False
2019-10-20,4,False
2019-10-27,3,False
2019-11-03,2,False
2019-11-10,5,False
2019-11-17,5,False
2019-11-24,2,False
2019-12-01,3,False
2019-12-08,3,False
2019-12-15,0,False
2019-12-22,3,False
2019-12-29,3,False
2020-01-05,5,False
2020-01-12,7,False
2020-01-19,5,False
2020-01-26,5,False
2020-02-02,7,False
2020-02-09,5,False
2020-02-16,6,False
2020-02-23,5,False
2020-03-01,6,False
2020-03-08,7,False
2020-03-15,18,False
2020-03-22,21,False
2020-03-29,19,False
2020-04-05,100,False
2020-04-12,62,False
2020-04-19,35,False
2020-04-26,39,False
2020-05-03,35,False
2020-05-10,25,False
