date,Sonnensegel Balkon,isPartial
2018-01-07,14,False
2018-01-14,14,False
2018-01-21,14,False
2018-01-28,0,False
2018-02-04,19,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,14,False
2018-03-04,0,False
2018-03-11,14,False
2018-03-18,14,False
2018-03-25,35,False
2018-04-01,15,False
2018-04-08,49,False
2018-04-15,79,False
2018-04-22,34,False
2018-04-29,25,False
2018-05-06,15,False
2018-05-13,43,False
2018-05-20,26,False
2018-05-27,61,False
2018-06-03,44,False
2018-06-10,14,False
2018-06-17,14,False
2018-06-24,43,False
2018-07-01,28,False
2018-07-08,14,False
2018-07-15,29,False
2018-07-22,29,False
2018-07-29,45,False
2018-08-05,21,False
2018-08-12,16,False
2018-08-19,16,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,15,False
2018-09-16,14,False
2018-09-23,0,False
2018-09-30,15,False
2018-10-07,14,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,14,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,13,False
2019-01-20,13,False
2019-01-27,0,False
2019-02-03,13,False
2019-02-10,13,False
2019-02-17,13,False
2019-02-24,18,False
2019-03-03,20,False
2019-03-10,13,False
2019-03-17,14,False
2019-03-24,13,False
2019-03-31,18,False
2019-04-07,13,False
2019-04-14,29,False
2019-04-21,14,False
2019-04-28,31,False
2019-05-05,26,False
2019-05-12,20,False
2019-05-19,26,False
2019-05-26,32,False
2019-06-02,59,False
2019-06-09,14,False
2019-06-16,42,False
2019-06-23,72,False
2019-06-30,20,False
2019-07-07,26,False
2019-07-14,13,False
2019-07-21,14,False
2019-07-28,21,False
2019-08-04,15,False
2019-08-11,0,False
2019-08-18,15,False
2019-08-25,30,False
2019-09-01,14,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,13,False
2019-10-13,13,False
2019-10-20,13,False
2019-10-27,13,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,12,False
2020-01-12,0,False
2020-01-19,12,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,24,False
2020-02-16,16,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,26,False
2020-03-22,16,False
2020-03-29,18,False
2020-04-05,85,False
2020-04-12,100,False
2020-04-19,32,False
2020-04-26,21,False
2020-05-03,21,False
2020-05-10,14,False
