date,Produzione video,isPartial
2018-01-07,68,False
2018-01-14,53,False
2018-01-21,26,False
2018-01-28,0,False
2018-02-04,39,False
2018-02-11,13,False
2018-02-18,64,False
2018-02-25,0,False
2018-03-04,38,False
2018-03-11,13,False
2018-03-18,53,False
2018-03-25,42,False
2018-04-01,0,False
2018-04-08,39,False
2018-04-15,27,False
2018-04-22,14,False
2018-04-29,80,False
2018-05-06,93,False
2018-05-13,79,False
2018-05-20,40,False
2018-05-27,54,False
2018-06-03,67,False
2018-06-10,38,False
2018-06-17,40,False
2018-06-24,40,False
2018-07-01,40,False
2018-07-08,26,False
2018-07-15,27,False
2018-07-22,54,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,15,False
2018-08-19,15,False
2018-08-26,41,False
2018-09-02,13,False
2018-09-09,26,False
2018-09-16,51,False
2018-09-23,26,False
2018-09-30,13,False
2018-10-07,53,False
2018-10-14,14,False
2018-10-21,26,False
2018-10-28,26,False
2018-11-04,25,False
2018-11-11,40,False
2018-11-18,39,False
2018-11-25,65,False
2018-12-02,53,False
2018-12-09,54,False
2018-12-16,42,False
2018-12-23,32,False
2018-12-30,29,False
2019-01-06,40,False
2019-01-13,52,False
2019-01-20,12,False
2019-01-27,24,False
2019-02-03,100,False
2019-02-10,25,False
2019-02-17,13,False
2019-02-24,51,False
2019-03-03,54,False
2019-03-10,65,False
2019-03-17,53,False
2019-03-24,13,False
2019-03-31,0,False
2019-04-07,13,False
2019-04-14,40,False
2019-04-21,28,False
2019-04-28,40,False
2019-05-05,38,False
2019-05-12,13,False
2019-05-19,50,False
2019-05-26,61,False
2019-06-02,0,False
2019-06-09,52,False
2019-06-16,26,False
2019-06-23,54,False
2019-06-30,14,False
2019-07-07,26,False
2019-07-14,13,False
2019-07-21,14,False
2019-07-28,41,False
2019-08-04,14,False
2019-08-11,0,False
2019-08-18,56,False
2019-08-25,26,False
2019-09-01,36,False
2019-09-08,0,False
2019-09-15,25,False
2019-09-22,61,False
2019-09-29,61,False
2019-10-06,12,False
2019-10-13,12,False
2019-10-20,0,False
2019-10-27,12,False
2019-11-03,59,False
2019-11-10,36,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,97,False
2019-12-08,25,False
2019-12-15,25,False
2019-12-22,28,False
2019-12-29,54,False
2020-01-05,36,False
2020-01-12,45,False
2020-01-19,35,False
2020-01-26,45,False
2020-02-02,34,False
2020-02-09,23,False
2020-02-16,23,False
2020-02-23,32,False
2020-03-01,43,False
2020-03-08,31,False
2020-03-15,52,False
2020-03-22,20,False
2020-03-29,59,False
2020-04-05,42,False
2020-04-12,0,False
2020-04-19,30,False
2020-04-26,35,True
