date,organisateur de mariage,isPartial
2018-01-07,47,False
2018-01-14,47,False
2018-01-21,46,False
2018-01-28,0,False
2018-02-04,47,False
2018-02-11,24,False
2018-02-18,100,False
2018-02-25,25,False
2018-03-04,47,False
2018-03-11,36,False
2018-03-18,0,False
2018-03-25,24,False
2018-04-01,0,False
2018-04-08,24,False
2018-04-15,26,False
2018-04-22,0,False
2018-04-29,24,False
2018-05-06,26,False
2018-05-13,24,False
2018-05-20,24,False
2018-05-27,23,False
2018-06-03,35,False
2018-06-10,23,False
2018-06-17,23,False
2018-06-24,24,False
2018-07-01,0,False
2018-07-08,24,False
2018-07-15,0,False
2018-07-22,27,False
2018-07-29,57,False
2018-08-05,29,False
2018-08-12,31,False
2018-08-19,28,False
2018-08-26,26,False
2018-09-02,24,False
2018-09-09,31,False
2018-09-16,0,False
2018-09-23,47,False
2018-09-30,47,False
2018-10-07,23,False
2018-10-14,22,False
2018-10-21,23,False
2018-10-28,25,False
2018-11-04,23,False
2018-11-11,22,False
2018-11-18,23,False
2018-11-25,23,False
2018-12-02,23,False
2018-12-09,24,False
2018-12-16,0,False
2018-12-23,29,False
2018-12-30,27,False
2019-01-06,24,False
2019-01-13,0,False
2019-01-20,23,False
2019-01-27,23,False
2019-02-03,22,False
2019-02-10,23,False
2019-02-17,23,False
2019-02-24,0,False
2019-03-03,46,False
2019-03-10,0,False
2019-03-17,24,False
2019-03-24,0,False
2019-03-31,24,False
2019-04-07,24,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,26,False
2019-05-05,0,False
2019-05-12,25,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,22,False
2019-06-09,24,False
2019-06-16,0,False
2019-06-23,37,False
2019-06-30,0,False
2019-07-07,25,False
2019-07-14,27,False
2019-07-21,43,False
2019-07-28,30,False
2019-08-04,47,False
2019-08-11,0,False
2019-08-18,31,False
2019-08-25,0,False
2019-09-01,48,False
2019-09-08,24,False
2019-09-15,24,False
2019-09-22,46,False
2019-09-29,23,False
2019-10-06,24,False
2019-10-13,24,False
2019-10-20,37,False
2019-10-27,25,False
2019-11-03,69,False
2019-11-10,24,False
2019-11-17,24,False
2019-11-24,23,False
2019-12-01,22,False
2019-12-08,0,False
2019-12-15,70,False
2019-12-22,71,False
2019-12-29,0,False
2020-01-05,23,False
2020-01-12,53,False
2020-01-19,23,False
2020-01-26,23,False
2020-02-02,0,False
2020-02-09,23,False
2020-02-16,24,False
2020-02-23,0,False
2020-03-01,44,False
2020-03-08,22,False
2020-03-15,23,False
2020-03-22,24,False
2020-03-29,23,False
2020-04-05,23,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,22,False
2020-05-03,44,False
2020-05-10,0,False
2020-05-17,0,True
