date,Videomaking,isPartial
2018-01-07,21,False
2018-01-14,21,False
2018-01-21,21,False
2018-01-28,0,False
2018-02-04,41,False
2018-02-11,21,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,43,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,21,False
2018-04-22,22,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,42,False
2018-05-20,21,False
2018-05-27,0,False
2018-06-03,42,False
2018-06-10,20,False
2018-06-17,62,False
2018-06-24,42,False
2018-07-01,0,False
2018-07-08,21,False
2018-07-15,42,False
2018-07-22,21,False
2018-07-29,0,False
2018-08-05,22,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,21,False
2018-09-02,41,False
2018-09-09,21,False
2018-09-16,100,False
2018-09-23,0,False
2018-09-30,41,False
2018-10-07,42,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,40,False
2018-11-11,21,False
2018-11-18,0,False
2018-11-25,83,False
2018-12-02,63,False
2018-12-09,21,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,41,False
2019-01-20,20,False
2019-01-27,19,False
2019-02-03,20,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,21,False
2019-03-10,21,False
2019-03-17,21,False
2019-03-24,0,False
2019-03-31,21,False
2019-04-07,0,False
2019-04-14,21,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,39,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,41,False
2019-06-16,41,False
2019-06-23,21,False
2019-06-30,21,False
2019-07-07,20,False
2019-07-14,0,False
2019-07-21,21,False
2019-07-28,0,False
2019-08-04,44,False
2019-08-11,24,False
2019-08-18,44,False
2019-08-25,0,False
2019-09-01,19,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,19,False
2019-10-06,39,False
2019-10-13,39,False
2019-10-20,38,False
2019-10-27,19,False
2019-11-03,37,False
2019-11-10,56,False
2019-11-17,0,False
2019-11-24,18,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,19,False
2020-01-12,54,False
2020-01-19,0,False
2020-01-26,18,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,18,False
2020-02-23,17,False
2020-03-01,17,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,15,False
2020-03-29,16,False
2020-04-05,66,False
2020-04-12,16,False
2020-04-19,0,False
2020-04-26,82,True
