date,Dachdeckerbetrieb,isPartial
2018-01-07,63,False
2018-01-14,31,False
2018-01-21,23,False
2018-01-28,35,False
2018-02-04,48,False
2018-02-11,48,False
2018-02-18,24,False
2018-02-25,24,False
2018-03-04,24,False
2018-03-11,35,False
2018-03-18,48,False
2018-03-25,51,False
2018-04-01,0,False
2018-04-08,86,False
2018-04-15,25,False
2018-04-22,48,False
2018-04-29,50,False
2018-05-06,38,False
2018-05-13,36,False
2018-05-20,26,False
2018-05-27,41,False
2018-06-03,61,False
2018-06-10,24,False
2018-06-17,23,False
2018-06-24,24,False
2018-07-01,24,False
2018-07-08,24,False
2018-07-15,37,False
2018-07-22,25,False
2018-07-29,50,False
2018-08-05,25,False
2018-08-12,0,False
2018-08-19,25,False
2018-08-26,25,False
2018-09-02,24,False
2018-09-09,0,False
2018-09-16,36,False
2018-09-23,25,False
2018-09-30,24,False
2018-10-07,24,False
2018-10-14,24,False
2018-10-21,24,False
2018-10-28,23,False
2018-11-04,46,False
2018-11-11,23,False
2018-11-18,68,False
2018-11-25,23,False
2018-12-02,0,False
2018-12-09,58,False
2018-12-16,24,False
2018-12-23,27,False
2018-12-30,33,False
2019-01-06,22,False
2019-01-13,44,False
2019-01-20,55,False
2019-01-27,44,False
2019-02-03,56,False
2019-02-10,45,False
2019-02-17,45,False
2019-02-24,58,False
2019-03-03,34,False
2019-03-10,100,False
2019-03-17,54,False
2019-03-24,23,False
2019-03-31,0,False
2019-04-07,34,False
2019-04-14,25,False
2019-04-21,48,False
2019-04-28,45,False
2019-05-05,44,False
2019-05-12,23,False
2019-05-19,56,False
2019-05-26,35,False
2019-06-02,23,False
2019-06-09,0,False
2019-06-16,24,False
2019-06-23,35,False
2019-06-30,46,False
2019-07-07,23,False
2019-07-14,24,False
2019-07-21,25,False
2019-07-28,0,False
2019-08-04,24,False
2019-08-11,23,False
2019-08-18,47,False
2019-08-25,23,False
2019-09-01,0,False
2019-09-08,46,False
2019-09-15,23,False
2019-09-22,44,False
2019-09-29,52,False
2019-10-06,33,False
2019-10-13,0,False
2019-10-20,22,False
2019-10-27,21,False
2019-11-03,42,False
2019-11-10,21,False
2019-11-17,32,False
2019-11-24,21,False
2019-12-01,0,False
2019-12-08,43,False
2019-12-15,29,False
2019-12-22,25,False
2019-12-29,23,False
2020-01-05,20,False
2020-01-12,0,False
2020-01-19,20,False
2020-01-26,20,False
2020-02-02,20,False
2020-02-09,26,False
2020-02-16,54,False
2020-02-23,30,False
2020-03-01,46,False
2020-03-08,0,False
2020-03-15,37,False
2020-03-22,36,False
2020-03-29,54,False
2020-04-05,60,False
2020-04-12,28,False
2020-04-19,31,False
2020-04-26,54,False
2020-05-03,18,False
2020-05-10,0,False
