date,Dachdecker Arbeiten,isPartial
2018-01-07,0,False
2018-01-14,26,False
2018-01-21,26,False
2018-01-28,0,False
2018-02-04,36,False
2018-02-11,82,False
2018-02-18,27,False
2018-02-25,26,False
2018-03-04,40,False
2018-03-11,0,False
2018-03-18,53,False
2018-03-25,28,False
2018-04-01,29,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,42,False
2018-05-06,0,False
2018-05-13,27,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,27,False
2018-06-10,39,False
2018-06-17,26,False
2018-06-24,27,False
2018-07-01,80,False
2018-07-08,26,False
2018-07-15,28,False
2018-07-22,37,False
2018-07-29,28,False
2018-08-05,27,False
2018-08-12,0,False
2018-08-19,28,False
2018-08-26,0,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,27,False
2018-09-23,27,False
2018-09-30,27,False
2018-10-07,55,False
2018-10-14,27,False
2018-10-21,27,False
2018-10-28,0,False
2018-11-04,51,False
2018-11-11,52,False
2018-11-18,0,False
2018-11-25,26,False
2018-12-02,26,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,25,False
2019-01-13,48,False
2019-01-20,24,False
2019-01-27,0,False
2019-02-03,25,False
2019-02-10,0,False
2019-02-17,25,False
2019-02-24,26,False
2019-03-03,38,False
2019-03-10,25,False
2019-03-17,26,False
2019-03-24,25,False
2019-03-31,26,False
2019-04-07,34,False
2019-04-14,28,False
2019-04-21,27,False
2019-04-28,25,False
2019-05-05,37,False
2019-05-12,25,False
2019-05-19,33,False
2019-05-26,35,False
2019-06-02,25,False
2019-06-09,26,False
2019-06-16,26,False
2019-06-23,39,False
2019-06-30,38,False
2019-07-07,50,False
2019-07-14,53,False
2019-07-21,0,False
2019-07-28,27,False
2019-08-04,27,False
2019-08-11,26,False
2019-08-18,26,False
2019-08-25,26,False
2019-09-01,42,False
2019-09-08,25,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,25,False
2019-10-20,48,False
2019-10-27,47,False
2019-11-03,23,False
2019-11-10,0,False
2019-11-17,47,False
2019-11-24,23,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,24,False
2019-12-22,0,False
2019-12-29,26,False
2020-01-05,0,False
2020-01-12,33,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,22,False
2020-02-09,44,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,22,False
2020-03-08,0,False
2020-03-15,41,False
2020-03-22,41,False
2020-03-29,100,False
2020-04-05,22,False
2020-04-12,43,False
2020-04-19,0,False
2020-04-26,20,False
2020-05-03,20,False
2020-05-10,41,False
