date,Styropor entsorgen,isPartial
2018-01-07,27,False
2018-01-14,26,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,27,False
2018-02-11,27,False
2018-02-18,27,False
2018-02-25,0,False
2018-03-04,41,False
2018-03-11,40,False
2018-03-18,27,False
2018-03-25,28,False
2018-04-01,29,False
2018-04-08,27,False
2018-04-15,0,False
2018-04-22,40,False
2018-04-29,55,False
2018-05-06,42,False
2018-05-13,40,False
2018-05-20,28,False
2018-05-27,27,False
2018-06-03,45,False
2018-06-10,51,False
2018-06-17,26,False
2018-06-24,27,False
2018-07-01,26,False
2018-07-08,0,False
2018-07-15,27,False
2018-07-22,56,False
2018-07-29,43,False
2018-08-05,28,False
2018-08-12,42,False
2018-08-19,55,False
2018-08-26,54,False
2018-09-02,40,False
2018-09-09,82,False
2018-09-16,27,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,27,False
2018-10-21,41,False
2018-10-28,40,False
2018-11-04,25,False
2018-11-11,26,False
2018-11-18,0,False
2018-11-25,52,False
2018-12-02,51,False
2018-12-09,26,False
2018-12-16,40,False
2018-12-23,30,False
2018-12-30,55,False
2019-01-06,100,False
2019-01-13,25,False
2019-01-20,49,False
2019-01-27,74,False
2019-02-03,25,False
2019-02-10,25,False
2019-02-17,25,False
2019-02-24,39,False
2019-03-03,25,False
2019-03-10,33,False
2019-03-17,64,False
2019-03-24,77,False
2019-03-31,50,False
2019-04-07,34,False
2019-04-14,56,False
2019-04-21,27,False
2019-04-28,26,False
2019-05-05,33,False
2019-05-12,43,False
2019-05-19,25,False
2019-05-26,39,False
2019-06-02,38,False
2019-06-09,26,False
2019-06-16,44,False
2019-06-23,34,False
2019-06-30,25,False
2019-07-07,50,False
2019-07-14,0,False
2019-07-21,72,False
2019-07-28,28,False
2019-08-04,42,False
2019-08-11,27,False
2019-08-18,27,False
2019-08-25,51,False
2019-09-01,25,False
2019-09-08,64,False
2019-09-15,52,False
2019-09-22,37,False
2019-09-29,0,False
2019-10-06,25,False
2019-10-13,50,False
2019-10-20,38,False
2019-10-27,0,False
2019-11-03,31,False
2019-11-10,63,False
2019-11-17,39,False
2019-11-24,23,False
2019-12-01,47,False
2019-12-08,0,False
2019-12-15,36,False
2019-12-22,46,False
2019-12-29,52,False
2020-01-05,31,False
2020-01-12,36,False
2020-01-19,46,False
2020-01-26,78,False
2020-02-02,55,False
2020-02-09,51,False
2020-02-16,23,False
2020-02-23,43,False
2020-03-01,33,False
2020-03-08,41,False
2020-03-15,41,False
2020-03-22,68,False
2020-03-29,60,False
2020-04-05,22,False
2020-04-12,35,False
2020-04-19,41,False
2020-04-26,40,False
2020-05-03,62,False
2020-05-10,62,False
