date,Herren Hochzeitsanzug,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,15,False
2018-02-04,15,False
2018-02-11,8,False
2018-02-18,12,False
2018-02-25,8,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,13,False
2018-04-08,8,False
2018-04-15,0,False
2018-04-22,16,False
2018-04-29,12,False
2018-05-06,16,False
2018-05-13,8,False
2018-05-20,17,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,8,False
2018-07-01,0,False
2018-07-08,7,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,17,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,16,False
2018-09-09,16,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,8,False
2018-10-14,8,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,7,False
2018-11-11,8,False
2018-11-18,7,False
2018-11-25,0,False
2018-12-02,7,False
2018-12-09,0,False
2018-12-16,15,False
2018-12-23,0,False
2018-12-30,24,False
2019-01-06,14,False
2019-01-13,7,False
2019-01-20,7,False
2019-01-27,14,False
2019-02-03,0,False
2019-02-10,7,False
2019-02-17,7,False
2019-02-24,0,False
2019-03-03,7,False
2019-03-10,7,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,15,False
2019-04-07,7,False
2019-04-14,0,False
2019-04-21,8,False
2019-04-28,7,False
2019-05-05,0,False
2019-05-12,0,False
2019-05-19,14,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,8,False
2019-06-16,8,False
2019-06-23,0,False
2019-06-30,7,False
2019-07-07,7,False
2019-07-14,11,False
2019-07-21,8,False
2019-07-28,7,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,8,False
2019-08-25,16,False
2019-09-01,7,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,7,False
2019-09-29,21,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,7,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,7,False
2019-11-17,0,False
2019-11-24,7,False
2019-12-01,7,False
2019-12-08,0,False
2019-12-15,7,False
2019-12-22,8,False
2019-12-29,0,False
2020-01-05,10,False
2020-01-12,13,False
2020-01-19,7,False
2020-01-26,13,False
2020-02-02,0,False
2020-02-09,6,False
2020-02-16,0,False
2020-02-23,7,False
2020-03-01,6,False
2020-03-08,6,False
2020-03-15,12,False
2020-03-22,6,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,100,True
